model,tensor,type_block,rule,harmed_id,harmed_se,harmmass_id,harmmass_se,elected_id,elected_se,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,identity_mse_cut,search_mse_cut,control_mse_cut,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.8.self_attn.o_proj (4096, 4096)",8x64,h3,1.489,5.2869,0.386,1.3555,4.9194,18.2648,heade0,mse,0.5648,0.5557,0.0055,0.0006,0.9938,21.2664,1.2554,4.7823,4.8634,0.059,0.2249,0.2287,0.1658,-0.0038,spectral2,7.5
llama-3.1-8b,"layers.8.self_attn.o_proj (4096, 4096)",8x64,h5,0.1923,2.0635,0.0433,0.4541,0.7446,8.4503,heade0,mse,0.5648,0.5557,0.0055,0.0006,0.9938,21.2664,0.3606,2.9266,3.188,0.017,0.1376,0.1499,0.1207,-0.0123,spectral1,8.4
llama-3.1-8b,"layers.8.self_attn.o_proj (4096, 4096)",8x64,dominance,0.0,0.0,0.0,0.0,0.0,0.0,heade0,mse,0.5648,0.5557,0.0055,0.0006,0.9938,21.2664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.9
llama-3.1-8b,"layers.8.mlp.up_proj (14336, 4096)",8x64,argmin,23.8189,21.1836,8.9415,7.082,59.518,58.5903,heade0,mse,0.5568,0.5521,0.0156,0.001,0.9834,20.7298,4.9247,7.869,7.7535,0.2376,0.3796,0.374,0.142,0.0056,marginal,31.3
llama-3.1-8b,"layers.8.mlp.up_proj (14336, 4096)",8x64,h1.5,10.5006,12.3687,3.5332,3.7447,28.7641,38.5114,heade0,mse,0.5568,0.5521,0.0156,0.001,0.9834,20.7298,3.7577,7.1552,7.0743,0.1813,0.3452,0.3413,0.1639,0.0039,marginal,33.0
llama-3.1-8b,"layers.8.mlp.up_proj (14336, 4096)",8x64,h3,1.0009,3.9319,0.2578,1.0245,3.3848,15.2675,heade0,mse,0.5568,0.5521,0.0156,0.001,0.9834,20.7298,0.7221,4.112,4.0864,0.0348,0.1984,0.1971,0.1635,0.0012,marginal,26.3
llama-3.1-8b,"layers.8.mlp.up_proj (14336, 4096)",8x64,h5,0.1062,1.4425,0.0213,0.3288,0.4281,7.3303,heade0,mse,0.5568,0.5521,0.0156,0.001,0.9834,20.7298,0.1118,2.6166,2.6158,0.0054,0.1262,0.1262,0.1208,0.0,spectral1,28.2
llama-3.1-8b,"layers.8.mlp.up_proj (14336, 4096)",8x64,dominance,0.0,0.0,0.0,0.0,0.0,0.0,heade0,mse,0.5568,0.5521,0.0156,0.001,0.9834,20.7298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,2.8
llama-3.1-8b,"layers.8.mlp.down_proj (4096, 14336)",8x64,argmin,23.4348,22.2735,8.8049,8.236,58.1517,57.6085,heade0,mse,0.5526,0.5546,0.0575,0.0009,0.9416,20.6921,4.8094,6.0414,5.7812,0.2324,0.292,0.2794,0.0595,0.0126,marginal,23.1
llama-3.1-8b,"layers.8.mlp.down_proj (4096, 14336)",8x64,h1.5,10.1838,12.8473,3.4138,4.3957,27.6873,35.8442,heade0,mse,0.5526,0.5546,0.0575,0.0009,0.9416,20.6921,3.6545,5.1459,4.8761,0.1766,0.2487,0.2357,0.0721,0.013,marginal,22.1
