model,tensor,type_block,rule,harmed_id,harmed_se,harmmass_id,harmmass_se,elected_id,elected_se,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,identity_mse_cut,search_mse_cut,control_mse_cut,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",8x64,h1.5,10.6903,13.4282,3.5889,4.529,29.2419,37.4747,heade0,mse,0.5563,0.5527,0.0182,0.001,0.9808,20.8001,3.8645,5.3233,5.0721,0.1858,0.2559,0.2438,0.0701,0.0121,marginal,22.6
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",8x64,argmin,22.5298,20.837,8.4948,6.9296,56.4148,56.8909,heade0,mse,0.5534,0.565,0.0188,0.0055,0.9757,20.5185,4.86,7.5963,7.5188,0.2369,0.3702,0.3664,0.1334,0.0038,marginal,10.3
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",8x64,h1.5,10.2652,13.2673,3.466,4.0565,28.0365,39.5355,heade0,mse,0.5534,0.565,0.0188,0.0055,0.9757,20.5185,3.7734,7.0226,6.9605,0.1839,0.3423,0.3392,0.1584,0.003,marginal,9.7
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",8x64,argmin,19.0697,19.0331,7.3421,6.5019,47.5708,50.8667,heade0,mse,0.539,0.5716,0.0131,0.0084,0.9785,19.7788,3.904,6.1597,5.8309,0.1974,0.3114,0.2948,0.114,0.0166,marginal,2.9
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",8x64,h1.5,8.2813,12.6232,2.8063,4.0591,22.6074,36.0962,heade0,mse,0.539,0.5716,0.0131,0.0084,0.9785,19.7788,2.9376,5.5922,5.3098,0.1485,0.2827,0.2685,0.1342,0.0143,marginal,2.8
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",8x64,argmin,26.4745,23.1909,9.7751,7.6757,66.7389,63.4216,heade0,mse,0.5669,0.5563,0.0072,0.0008,0.992,21.3077,5.8963,8.451,8.4645,0.2767,0.3966,0.3973,0.1199,-0.0006,spectral2,10.2
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",8x64,h1.5,12.7265,14.8682,4.2358,4.54,34.9976,44.4672,heade0,mse,0.5669,0.5563,0.0072,0.0008,0.992,21.3077,4.6686,7.7651,7.7683,0.2191,0.3644,0.3646,0.1453,-0.0002,spectral2,9.3
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",8x64,argmin,25.9874,22.4694,9.6547,7.4737,65.3538,62.3186,heade0,mse,0.5646,0.5554,0.0095,0.0005,0.99,21.2276,5.6794,8.5012,8.4727,0.2675,0.4005,0.3991,0.1329,0.0013,spectral2,32.5
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",8x64,h1.5,12.1408,13.51,4.0706,4.0823,33.4429,41.9346,heade0,mse,0.5646,0.5554,0.0095,0.0005,0.99,21.2276,4.4466,7.7784,7.7551,0.2095,0.3664,0.3653,0.157,0.0011,spectral2,33.5
llama-3.1-8b,"layers.24.mlp.down_proj (4096, 14336)",8x64,argmin,26.3082,24.7584,9.7411,8.8644,66.2903,64.4802,heade0,mse,0.5665,0.5519,0.0049,0.0006,0.9945,21.2993,5.8529,6.8241,6.7872,0.2748,0.3204,0.3187,0.0456,0.0017,marginal,24.0
llama-3.1-8b,"layers.24.mlp.down_proj (4096, 14336)",8x64,h1.5,12.546,14.8834,4.1864,4.9379,34.5442,41.6094,heade0,mse,0.5665,0.5519,0.0049,0.0006,0.9945,21.2993,4.6236,5.8832,5.8384,0.2171,0.2762,0.2741,0.0591,0.0021,marginal,21.9
