model,tensor,type_block,rule,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share
llama-3.1-8b,"layers.12.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5611,0.5504,0.0061,0.0024,0.9915
llama-3.1-8b,"layers.12.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.5495,0.5441,0.0043,0.0025,0.9932
llama-3.1-8b,"layers.12.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5673,0.5585,0.0077,0.0004,0.9919
llama-3.1-8b,"layers.12.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5557,0.5672,0.0569,0.0013,0.9418
llama-3.1-8b,"layers.12.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5532,0.554,0.0167,0.0015,0.9817
llama-3.1-8b,"layers.12.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5468,0.5505,0.0475,0.0008,0.9517
llama-3.1-8b,"layers.13.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5545,0.5439,0.0059,0.0009,0.9931
llama-3.1-8b,"layers.13.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5527,0.5683,0.0163,0.007,0.9767
llama-3.1-8b,"layers.13.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.554,0.5467,0.0052,0.002,0.9927
llama-3.1-8b,"layers.13.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5652,0.5573,0.0024,0.0005,0.9971
llama-3.1-8b,"layers.13.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5542,0.5711,0.0771,0.0013,0.9216
llama-3.1-8b,"layers.13.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5529,0.5538,0.0147,0.0014,0.9839
llama-3.1-8b,"layers.13.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5515,0.5472,0.0241,0.0008,0.975
llama-3.1-8b,"layers.14.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5505,0.5665,0.0529,0.0028,0.9443
llama-3.1-8b,"layers.14.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5445,0.6036,0.0649,0.0071,0.928
llama-3.1-8b,"layers.14.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.5382,0.5666,0.0185,0.005,0.9765
llama-3.1-8b,"layers.14.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5624,0.5531,0.0055,0.0016,0.9929
llama-3.1-8b,"layers.14.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5518,0.5708,0.0617,0.0017,0.9366
llama-3.1-8b,"layers.14.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5521,0.5505,0.0121,0.0014,0.9864
llama-3.1-8b,"layers.14.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5506,0.5452,0.0184,0.0011,0.9806
llama-3.1-8b,"layers.15.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5556,0.5522,0.016,0.0013,0.9826
llama-3.1-8b,"layers.15.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5516,0.5603,0.0099,0.007,0.983
llama-3.1-8b,"layers.15.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.5289,0.5628,0.0098,0.0047,0.9855
llama-3.1-8b,"layers.15.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5656,0.5577,0.0018,0.0005,0.9977
llama-3.1-8b,"layers.15.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5572,0.5676,0.0552,0.0013,0.9435
llama-3.1-8b,"layers.15.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5539,0.5489,0.0093,0.0011,0.9896
llama-3.1-8b,"layers.15.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5524,0.5483,0.0257,0.0009,0.9734
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5567,0.5578,0.0278,0.0019,0.9704
llama-3.1-8b,"layers.16.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5548,0.5667,0.0137,0.0077,0.9786
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.54,0.5855,0.0238,0.0085,0.9676
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5668,0.5588,0.0085,0.0003,0.9911
llama-3.1-8b,"layers.16.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5594,0.5592,0.0229,0.001,0.9761
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5569,0.5491,0.0078,0.001,0.9912
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5563,0.5527,0.0182,0.001,0.9808
llama-3.1-8b,"layers.17.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.56,0.549,0.007,0.0014,0.9917
llama-3.1-8b,"layers.17.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5527,0.5673,0.0141,0.0089,0.977
llama-3.1-8b,"layers.17.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.5518,0.5448,0.0046,0.0022,0.9932
llama-3.1-8b,"layers.17.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5648,0.5549,0.002,0.0006,0.9974
llama-3.1-8b,"layers.17.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5611,0.5613,0.0277,0.0009,0.9714
llama-3.1-8b,"layers.17.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5584,0.551,0.0093,0.0009,0.9898
llama-3.1-8b,"layers.17.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5567,0.5535,0.0188,0.0012,0.9799
llama-3.1-8b,"layers.18.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5586,0.5499,0.0074,0.0018,0.9908
llama-3.1-8b,"layers.18.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5495,0.5712,0.0162,0.0087,0.9751
llama-3.1-8b,"layers.18.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.5305,0.5866,0.0185,0.0107,0.9707
llama-3.1-8b,"layers.18.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5678,0.5587,0.0085,0.0005,0.991
llama-3.1-8b,"layers.18.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5617,0.5586,0.0255,0.0006,0.9739
llama-3.1-8b,"layers.18.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5606,0.5524,0.0079,0.0006,0.9914
llama-3.1-8b,"layers.18.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5618,0.5533,0.0129,0.0007,0.9864
llama-3.1-8b,"layers.19.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.559,0.5527,0.0088,0.002,0.9892
llama-3.1-8b,"layers.19.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5498,0.5693,0.0188,0.008,0.9732
llama-3.1-8b,"layers.19.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.5411,0.5594,0.0096,0.006,0.9845
llama-3.1-8b,"layers.19.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5651,0.5543,0.0236,0.0005,0.9758
llama-3.1-8b,"layers.19.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5626,0.5593,0.0306,0.0005,0.9689
llama-3.1-8b,"layers.19.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5607,0.5514,0.0076,0.0005,0.9919
llama-3.1-8b,"layers.19.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5623,0.5527,0.0099,0.0009,0.9892
llama-3.1-8b,"layers.20.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5597,0.5521,0.0081,0.0023,0.9896
llama-3.1-8b,"layers.20.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.542,0.5953,0.0316,0.0126,0.9558
llama-3.1-8b,"layers.20.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.5406,0.5583,0.0107,0.0039,0.9854
