model,tensor,type_block,rule,purity_count_id,purity_count_se,purity_mass_id,purity_mass_se,harmed_id,harmed_se,harmmass_id,harmmass_se,elected_id,elected_se,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,identity_mse_cut,search_mse_cut,control_mse_cut,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",8x64,h1.5,0.58465,0.60408,0.60561,0.66911,10.9913,13.6529,3.4729,4.065,29.9622,40.4358,heade0,mse,0.5567,0.5578,0.0278,0.0019,0.9704,20.4925,3.7678,7.1561,7.525,0.1839,0.3492,0.3672,0.1653,-0.018,spectral2,10.8
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",8x64,h1.5,0.58219,0.59719,0.62345,0.65918,8.6208,13.2336,3.0102,4.3557,23.6206,37.4878,heade0,mse,0.54,0.5855,0.0238,0.0085,0.9676,19.7914,3.2189,5.6581,5.2202,0.1626,0.2859,0.2638,0.1232,0.0221,marginal,3.3
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",8x64,h1.5,0.58882,0.60818,0.60564,0.66239,12.8304,14.9995,4.2116,4.4657,35.199,44.6625,heade0,mse,0.5668,0.5588,0.0085,0.0003,0.9911,21.3845,4.966,8.1685,8.1243,0.2322,0.382,0.3799,0.1498,0.0021,spectral2,10.3
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",8x64,h1.5,0.58409,0.60829,0.60033,0.66261,10.7156,12.5741,3.5986,3.8122,29.3187,38.964,heade0,mse,0.5569,0.5491,0.0078,0.001,0.9912,20.7959,3.8509,7.2328,7.1798,0.1852,0.3478,0.3453,0.1626,0.0025,marginal,35.3
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",8x64,h1.5,0.58402,0.59309,0.6017,0.6262,10.6903,13.4282,3.5889,4.529,29.2419,37.4747,heade0,mse,0.5563,0.5527,0.0182,0.001,0.9808,20.8001,3.8645,5.3233,5.0721,0.1858,0.2559,0.2438,0.0701,0.0121,marginal,23.5
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",8x64,h1.5,0.58441,0.60541,0.6104,0.66851,10.2652,13.2673,3.466,4.0565,28.0365,39.5355,heade0,mse,0.5534,0.565,0.0188,0.0055,0.9757,20.5185,3.7734,7.0226,6.9718,0.1839,0.3423,0.3398,0.1584,0.0025,marginal,10.1
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",8x64,h1.5,0.58027,0.59411,0.61403,0.65621,8.2813,12.5542,2.8063,4.0553,22.6074,35.6445,heade0,mse,0.539,0.5716,0.0131,0.0084,0.9785,19.7788,2.9376,5.4193,5.3637,0.1485,0.274,0.2712,0.1255,0.0028,spectral2,3.2
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",8x64,h1.5,0.58908,0.60791,0.60444,0.6573,12.7265,15.19,4.2358,4.6721,34.9976,45.1233,heade0,mse,0.5669,0.5563,0.0072,0.0008,0.992,21.3077,4.6686,7.7301,7.7683,0.2191,0.3628,0.3646,0.1437,-0.0018,spectral2,10.0
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",8x64,h1.5,0.58798,0.61123,0.60294,0.66316,12.1408,13.4777,4.0706,4.0632,33.4429,41.8422,heade0,mse,0.5646,0.5554,0.0095,0.0005,0.99,21.2276,4.4466,7.764,7.7619,0.2095,0.3657,0.3657,0.1563,0.0001,spectral2,35.6
llama-3.1-8b,"layers.24.mlp.down_proj (4096, 14336)",8x64,h1.5,0.58897,0.59518,0.60423,0.6233,12.546,14.8834,4.1864,4.9379,34.5442,41.6094,heade0,mse,0.5665,0.5519,0.0049,0.0006,0.9945,21.2993,4.6236,5.8832,5.8384,0.2171,0.2762,0.2741,0.0591,0.0021,marginal,23.7
