model,tensor,type_block,rule,clip,metric,pos_share,rank1_sign_fit,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.12.mlp.down_proj (4096, 14336)",8x64,argmin,heade0,mse,0.5468,0.5505,0.2139,0.2759,0.2604,0.062,0.0155,marginal,26.6
llama-3.1-8b,"layers.12.mlp.down_proj (4096, 14336)",8x64,h1.5,heade0,mse,0.5468,0.5505,0.1594,0.2341,0.2176,0.0747,0.0165,marginal,23.2
llama-3.1-8b,"layers.12.mlp.down_proj (4096, 14336)",32x128,argmin,heade0,mse,0.5468,0.5505,0.0883,0.1894,0.1651,0.1012,0.0243,marginal,16.9
llama-3.1-8b,"layers.12.mlp.down_proj (4096, 14336)",32x128,h1.5,heade0,mse,0.5468,0.5505,0.0099,0.1114,0.0996,0.1015,0.0118,marginal,16.7
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5567,0.5578,0.2369,0.3733,0.3915,0.1365,-0.0181,spectral2,10.3
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5567,0.5578,0.1839,0.3496,0.3654,0.1658,-0.0158,spectral2,9.5
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",32x128,argmin,heade0,mse,0.5567,0.5578,0.1245,0.2669,0.2777,0.1424,-0.0108,marginal,5.8
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",32x128,h1.5,heade0,mse,0.5567,0.5578,0.0257,0.2086,0.2158,0.1829,-0.0072,marginal,7.2
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",8x64,argmin,heade0,mse,0.54,0.5855,0.2149,0.3216,0.2936,0.1067,0.028,spectral1,2.9
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",8x64,h1.5,heade0,mse,0.54,0.5855,0.1626,0.2922,0.2671,0.1296,0.0251,spectral1,2.8
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",32x128,argmin,heade0,mse,0.54,0.5855,0.1181,0.2193,0.1728,0.1012,0.0464,marginal,1.6
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",32x128,h1.5,heade0,mse,0.54,0.5855,0.0242,0.1647,0.1145,0.1405,0.0502,marginal,2.0
