model,tensor,type_block,rule,purity_count_id,purity_count_se,purity_mass_id,purity_mass_se,purity_count_ct,purity_mass_ct,harmed_id,harmed_se,harmmass_id,harmmass_se,elected_id,elected_se,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,identity_mse_cut,search_mse_cut,control_mse_cut,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",8x64,v0.75,0.58409,0.58457,0.60033,0.6012,0.58428,0.60076,0.152,0.2844,0.0635,0.1139,0.7394,1.3942,heade0,mse,0.5569,0.5491,0.0078,0.001,0.9912,20.7959,0.1575,0.3127,0.3134,0.0076,0.015,0.0151,0.0075,-0.0,spectral2,23.1
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",8x64,h1.5,0.58402,0.58653,0.6017,0.61024,0.58645,0.60949,10.6903,12.0964,3.5889,4.0449,29.2419,33.1752,heade0,mse,0.5563,0.5527,0.0182,0.001,0.9808,20.8001,3.8645,4.4594,4.4198,0.1858,0.2144,0.2125,0.0286,0.0019,marginal,17.5
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",8x64,h2,0.58402,0.58598,0.6017,0.60797,0.58591,0.60752,4.674,5.9912,1.4204,1.8273,13.8358,17.7795,heade0,mse,0.5563,0.5527,0.0182,0.001,0.9808,20.8001,2.3234,3.0238,2.9783,0.1117,0.1454,0.1432,0.0337,0.0022,spectral1,16.2
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",8x64,h3,0.58402,0.58519,0.6017,0.60502,0.58492,0.60458,1.0661,1.8445,0.2776,0.4845,3.5976,6.2282,heade0,mse,0.5563,0.5527,0.0182,0.001,0.9808,20.8001,0.776,1.365,1.3367,0.0373,0.0656,0.0643,0.0283,0.0014,marginal,15.7
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",8x64,v0.6,0.58402,0.58762,0.6017,0.60788,0.58725,0.60753,8.6127,9.7291,3.4697,3.8091,25.7778,29.1391,heade0,mse,0.5563,0.5527,0.0182,0.001,0.9808,20.8001,3.0394,3.6478,3.6091,0.1461,0.1754,0.1735,0.0292,0.0019,spectral1,17.5
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",8x64,v0.7,0.58402,0.58555,0.6017,0.60453,0.58539,0.60399,1.201,1.8625,0.5,0.7396,4.6247,7.1838,heade0,mse,0.5563,0.5527,0.0182,0.001,0.9808,20.8001,0.7871,1.3137,1.2938,0.0378,0.0632,0.0622,0.0253,0.001,marginal,16.1
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",8x64,v0.75,0.58402,0.58495,0.6017,0.60324,0.58448,0.60246,0.1601,0.4423,0.067,0.1715,0.7786,2.1737,heade0,mse,0.5563,0.5527,0.0182,0.001,0.9808,20.8001,0.166,0.5099,0.4903,0.008,0.0245,0.0236,0.0165,0.0009,identity,15.8
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",8x64,h1.5,0.58441,0.58702,0.6104,0.61797,0.58446,0.61793,10.2652,11.6865,3.466,3.9303,28.0365,32.0068,heade0,mse,0.5534,0.565,0.0188,0.0055,0.9757,20.5185,3.7734,4.4095,4.2692,0.1839,0.2149,0.2081,0.031,0.0068,spectral1,8.5
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",8x64,h2,0.58441,0.58669,0.6104,0.61636,0.58388,0.61547,4.587,5.9023,1.4202,1.8438,13.5254,17.3676,heade0,mse,0.5534,0.565,0.0188,0.0055,0.9757,20.5185,2.3133,3.0448,2.9857,0.1127,0.1484,0.1455,0.0357,0.0029,marginal,9.7
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",8x64,h3,0.58441,0.58611,0.6104,0.61468,0.58364,0.61258,1.0202,1.8349,0.2616,0.5018,3.4058,6.0822,heade0,mse,0.5534,0.565,0.0188,0.0055,0.9757,20.5185,0.7383,1.4232,1.4338,0.036,0.0694,0.0699,0.0334,-0.0005,marginal,7.4
