model,seed,candidate_a,candidate_b,domain,delta_nll,se,relative_ppl_percent
llama-3.1-8b-local,20260918,mixed,wiki,wikitext,0.0034874357828279822,0.0008664944312636723,0.349352396231869
llama-3.1-8b-local,20260918,mixed,wiki,c4,-0.000533676240593195,0.0009449771238886374,-0.053353386075767964
llama-3.1-8b-local,20260918,mixed,wiki,math,0.002012775279581547,0.0030917014610417517,0.20148022714761815
llama-3.1-8b-local,20260918,mixed,wiki,code,-0.008085694629698992,0.0058513733911327165,-0.8053093328107273
llama-3.1-8b-local,20260918,consensus,mixed,wikitext,-0.0014841856995249183,0.0008650400268038052,-0.14830848406232813
llama-3.1-8b-local,20260918,consensus,mixed,c4,0.0004796732682734728,0.0007735048883339537,0.0479788329892213
llama-3.1-8b-local,20260918,consensus,mixed,math,0.004827382043004036,0.0036567859659366307,0.483905262359192
llama-3.1-8b-local,20260918,consensus,mixed,code,-0.00812816247344017,0.005783609644221735,-0.8095218279855095
qwen3-4b,20260918,teacher_consensus,teacher_mixed,wikitext,0.05705562327057123,0.002012850279057854,5.871469793182702
qwen3-4b,20260918,teacher_consensus,teacher_mixed,c4,0.019193235551938415,0.0009680493733218153,1.9378609775140234
qwen3-4b,20260918,teacher_consensus,teacher_mixed,math,0.04210439836606383,0.008589464844420754,4.300336091378288
qwen3-4b,20260918,teacher_consensus,teacher_mixed,code,0.034646796993911266,0.008279126591204401,3.525398939570895
qwen3-4b,20260918,teacher_mixed,mixed,wikitext,0.0015015676617622375,0.0019221264292220745,0.15026955789610102
qwen3-4b,20260918,teacher_mixed,mixed,c4,0.0089083316270262,0.0008521461344483918,0.8948128901205675
qwen3-4b,20260918,teacher_mixed,mixed,math,0.014726838562637568,0.007613498853037126,1.4835812740887464
qwen3-4b,20260918,teacher_mixed,mixed,code,0.00861292751505971,0.007324963694912166,0.8650125493050508
qwen3-4b,20260918,teacher_consensus,consensus,wikitext,0.10050749965012074,0.002858268046391106,10.573193427561614
qwen3-4b,20260918,teacher_consensus,consensus,c4,0.05321802361868322,0.0014633021682881255,5.465956074883971
qwen3-4b,20260918,teacher_consensus,consensus,math,0.07722156494855881,0.008433207613924742,8.028140237184267
qwen3-4b,20260918,teacher_consensus,consensus,code,0.05614127637818456,0.008453087059482297,5.774710786174701
llama-3.1-8b-local,20260918,teacher_consensus,teacher_mixed,wikitext,-0.0026410847175412063,0.0008165459793292124,-0.2637600121677938
llama-3.1-8b-local,20260918,teacher_consensus,teacher_mixed,c4,4.263129085302353e-06,0.0007763411057085957,0.00042631381724500647
llama-3.1-8b-local,20260918,teacher_consensus,teacher_mixed,math,-0.004986110143363476,0.003703390778991163,-0.4973700130646761
llama-3.1-8b-local,20260918,teacher_consensus,teacher_mixed,code,-0.004657677374780178,0.0056855431600145905,-0.46468472165018015
llama-3.1-8b-local,20260918,teacher_mixed,mixed,wikitext,0.00794218807685666,0.0008778271176992811,0.7973810915319497
llama-3.1-8b-local,20260918,teacher_mixed,mixed,c4,0.001835511182434857,0.0008875025753174395,0.1837196764228923
llama-3.1-8b-local,20260918,teacher_mixed,mixed,math,0.005698357708752155,0.0038972086059353237,0.5714624231852052
llama-3.1-8b-local,20260918,teacher_mixed,mixed,code,-0.001944459043443203,0.005120419565798452,-0.19425698076696432
llama-3.1-8b-local,20260918,teacher_consensus,consensus,wikitext,0.006785289058840372,0.0008232035618917346,0.680836128703865
llama-3.1-8b-local,20260918,teacher_consensus,consensus,c4,0.0013601010432466865,0.0008105950082775204,0.13610264001493488
llama-3.1-8b-local,20260918,teacher_consensus,consensus,math,-0.0041151344776153564,0.0032805242299884085,-0.41066789143006915
llama-3.1-8b-local,20260918,teacher_consensus,consensus,code,0.0015260260552167892,0.005392125629436317,0.15271910254936882
