model,seed,rule,domain,tiles,accepted,n,baseline_ppl,candidate_ppl,delta_nll,se,relative_ppl_percent,lower_percent,upper_percent,delta_ppl,lower_ppl,upper_ppl,worthwhile_gain_0p01_ppl,supported_gain_0p01_ppl,export_delta_ppl,export_relative_ppl_percent,supported_improvement,supported_harm
Qwen3.8-27B,20260913,c4,c4,864,True,256,10.225732077840728,10.17255076647018,-0.005214304779656231,0.0004459498995388617,-0.5200733890318877,-0.6087599599420175,-0.4313076833020633,-0.05318131137054749,-0.06225016250084125,-0.044104368125610784,True,True,-0.05318131137054749,-0.5200733890318877,True,False
Qwen3.8-27B,20260913,c4,math,864,True,128,2.928102897285307,2.9082300885678865,-0.00681005883961916,0.002703752152165295,-0.6786922937662058,-1.2143231743507603,-0.14015714153564962,-0.019872808717420476,-0.035556632050571524,-0.004103945322057625,True,False,-0.019872808717420476,-0.6786922937662058,True,False
Qwen3.8-27B,20260913,c4,code,864,True,128,4.2669478476732925,4.231720602588137,-0.008290109690278769,0.0034473364230597652,-0.8255841492031432,-1.5070075062689738,-0.1394463674884274,-0.03522724508515562,-0.06430322435301894,-0.005950103776206043,True,False,-0.03522724508515562,-0.8255841492031432,True,False
Qwen3.8-27B,20260913,mixed,wikitext,360,True,127,7.689033260261394,7.270740526906686,-0.055936914729321094,0.005424413100222477,-5.440121263573369,-6.460440314138531,-4.408672686971923,-0.41829273335470774,-0.4967454045134474,-0.33898430923733086,True,True,-0.41829273335470774,-5.440121263573369,True,False
Qwen3.8-27B,20260913,mixed,c4,360,True,256,10.225732077840728,10.226105602905683,3.6527286283671856e-05,0.0004141430302259556,0.003652795341311626,-0.07914454158968463,0.08651874056205296,0.000373525064954805,-0.008093108777196378,0.008847174606997646,False,False,0.000373525064954805,0.003652795341311626,False,False
Qwen3.8-27B,20260913,mixed,math,360,True,128,2.928102897285307,2.9000939601562257,-0.00961160147562623,0.0024659753039769855,-0.9565557670479699,-1.4438305467623733,-0.4668718361635994,-0.028008937129081257,-0.04227684407163935,-0.013670487761315466,True,True,-0.028008937129081257,-0.9565557670479699,True,False
Qwen3.8-27B,20260913,mixed,code,360,True,128,4.2669478476732925,4.236528210418128,-0.007154666353017092,0.003382343169848082,-0.7129132659015676,-1.3822926418601635,-0.03899039809995491,-0.03041963725516439,-0.05898170613039854,-0.0016636999525252744,True,False,-0.03041963725516439,-0.7129132659015676,True,False
Qwen3.8-27B,20260913,consensus,wikitext,1247,False,127,7.689033260261394,7.479823369137216,-0.027585883778849924,0.0025831352432106333,-2.720886801276059,-3.2221610386591575,-2.217016144467183,-0.20920989112417843,-0.2477530339616866,-0.1704671087334465,True,True,0.0,0.0,True,False
Qwen3.8-27B,20260913,consensus,c4,1247,False,256,10.225732077840728,10.190387653623674,-0.003462407155893743,0.0004541761777062204,-0.34564199362944736,-0.43612216429228295,-0.2550795977513917,-0.03534442421705464,-0.04459668405260922,-0.02608375625129116,True,True,0.0,0.0,True,False
Qwen3.8-27B,20260913,consensus,math,1247,False,128,2.928102897285307,2.882765444254107,-0.015604680869728327,0.0030041773631409954,-1.5483558680001634,-2.138114754827083,-0.9550428339818225,-0.04533745303120007,-0.06260620008337646,-0.02796463689213745,True,True,0.0,0.0,True,False
Qwen3.8-27B,20260913,consensus,code,1247,False,128,4.2669478476732925,4.253434137667463,-0.0031720928382128477,0.0032113931239309964,-0.31670670672009016,-0.954899510142747,0.3255982643143526,-0.013513710005829793,-0.04074506409547876,0.013893108131222867,True,False,0.0,0.0,False,False
qwen3-4b,20260918,wiki,wikitext,23,True,128,15.215968675837818,14.126814111077778,-0.07427074573934078,0.002711955536179834,-7.157970602880917,-7.660174328747854,-6.653035568172523,-1.0891545647600402,-1.1655697263768434,-1.0123238080454797,True,True,-1.0891545647600402,-7.157970602880917,True,False
qwen3-4b,20260918,wiki,c4,23,True,256,17.81870635638335,17.324589008495682,-0.028122002026066184,0.0010585055607914662,-2.773025931316576,-2.978638797583642,-2.5669773192482688,-0.49411734788766637,-0.530754900758737,-0.4574021507518101,True,True,-0.49411734788766637,-2.773025931316576,True,False
qwen3-4b,20260918,wiki,math,23,True,128,5.257418519855406,4.945504233402199,-0.061161202378571033,0.008351696177611107,-5.932841094450024,-7.491031992225011,-4.34840453718714,-0.3119142864532076,-0.3938349032875311,-0.22861382545630946,True,True,-0.3119142864532076,-5.932841094450024,True,False
qwen3-4b,20260918,wiki,code,23,True,128,9.669665336022605,9.474695202444366,-0.0203691185452044,0.006305770224498684,-2.016306943446254,-3.2442727061110053,-0.7727565745111514,-0.19497013357823967,-0.3137103132688584,-0.07472297461734051,True,True,-0.19497013357823967,-2.016306943446254,True,False
