model,policy,dataset,ppl,baseline_ppl,mean_nll,two_se,ppl_delta,selected_e0m3_type_blocks,selected_fraction,calibration_sequences,reused,report
qwen4b,fixed256_code16,c4,21.024070629198523,21.928242974312177,-0.04210743773728609,0.0036202415280361232,-0.9041723451136541,256,3.6075036075036075e-05,16,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,fixed256_code16,wiki,17.368412273824934,19.414896584239752,-0.1113874667311368,0.0047813035243274415,-2.0464843104148187,256,3.6075036075036075e-05,16,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,adaptive_code32,c4,21.928242974312177,21.928242974312177,0.0,0.0,0.0,0,0.0,32,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,adaptive_code32,wiki,19.414896584239752,19.414896584239752,0.0,0.0,0.0,0,0.0,32,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,fixed256_code32,c4,20.939862029975817,21.928242974312177,-0.04612082289531827,0.003536745155917994,-0.9883809443363596,256,3.6075036075036075e-05,32,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,fixed256_code32,wiki,17.24960634568065,19.414896584239752,-0.11825131390192738,0.004592108267911964,-2.165290238559102,256,3.6075036075036075e-05,32,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,adaptive_code64,c4,21.909816968715816,21.928242974312177,-0.0008406396955251694,0.00015863080383026658,-0.01842600559636054,1,1.4091810966810967e-07,64,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,adaptive_code64,wiki,19.39705880548864,19.414896584239752,-0.0009191899675212495,0.00011439629518715348,-0.0178377787511117,1,1.4091810966810967e-07,64,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,fixed256_code64,c4,20.85454732518229,21.928242974312177,-0.050203417893499136,0.0038225799413688496,-1.0736956491298884,256,3.6075036075036075e-05,64,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,fixed256_code64,wiki,17.11553523856834,19.414896584239752,-0.12605409201693862,0.004704753337541536,-2.299361345671411,256,3.6075036075036075e-05,64,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,adaptive_math_code16,c4,21.928242974312177,21.928242974312177,0.0,0.0,0.0,0,0.0,16,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
qwen4b,adaptive_math_code16,wiki,19.414896584239752,19.414896584239752,0.0,0.0,0.0,0,0.0,16,False,results/math_code_adaptive/evaluation_333786_qwen4b/report.json
