accuracy_difference,ci95_high,ci95_low,clusters,comparator,corpus,dlogppl,effect,family,json_pointer,method,model,p_adjusted,p_raw,raw_ppl_comparator,raw_ppl_method,record_type,scope,selector,source_path,source_sha256,stream_label,windows
,-0.0011797157948580251,-0.002787347967082474,235,p20_global_weight_mse,c4,-0.001997023368206569,-0.001997023368206569,,/scopes/global/deterministic_contrasts/20,n16_k2_reference,mistral7b,0.0047995200479952005,0.00019998000199980003,8.064225282016965,8.048136905461106,paired_dlogppl,global,weight_mse,runs/P20_analysis_attempt1/analysis_p20/P20_DENSITY_CONTROL_ANALYSIS.json,317bcc26ef06c21f37fb42fbfb1f874edce3edcc4c3e27ac691a0595067641b0,P20:global:deterministic:mistral7b:c4:n16_k2_reference:p20_global_weight_mse,256
,-0.0012446418937842472,-0.0029658423750675822,235,p20_global_magnitude,c4,-0.0021359714794433804,-0.0021359714794433804,,/scopes/global/deterministic_contrasts/21,n16_k2_reference,mistral7b,0.0047995200479952005,0.00019998000199980003,8.065345868738387,8.048136905461106,paired_dlogppl,global,magnitude,runs/P20_analysis_attempt1/analysis_p20/P20_DENSITY_CONTROL_ANALYSIS.json,317bcc26ef06c21f37fb42fbfb1f874edce3edcc4c3e27ac691a0595067641b0,P20:global:deterministic:mistral7b:c4:n16_k2_reference:p20_global_magnitude,256
,-0.000910559118711129,-0.0025021372772433895,235,p20_global_change_norm,c4,-0.0017323655867154217,-0.0017323655867154217,,/scopes/global/deterministic_contrasts/22,n16_k2_reference,mistral7b,0.0047995200479952005,0.00019998000199980003,8.062091304443728,8.048136905461106,paired_dlogppl,global,change_norm,runs/P20_analysis_attempt1/analysis_p20/P20_DENSITY_CONTROL_ANALYSIS.json,317bcc26ef06c21f37fb42fbfb1f874edce3edcc4c3e27ac691a0595067641b0,P20:global:deterministic:mistral7b:c4:n16_k2_reference:p20_global_change_norm,256
,-0.001561445928655422,-0.0029494705466468407,235,p20_global_activation_weighted,c4,-0.0022470370032560043,-0.0022470370032560043,,/scopes/global/deterministic_contrasts/23,n16_k2_reference,mistral7b,0.0047995200479952005,0.00019998000199980003,8.066241700349105,8.048136905461106,paired_dlogppl,global,activation_weighted,runs/P20_analysis_attempt1/analysis_p20/P20_DENSITY_CONTROL_ANALYSIS.json,317bcc26ef06c21f37fb42fbfb1f874edce3edcc4c3e27ac691a0595067641b0,P20:global:deterministic:mistral7b:c4:n16_k2_reference:p20_global_activation_weighted,256
,-0.004793245997104542,-0.007420409828555705,53,p20_global_n8_u2_matched,wiki,-0.006139041984730559,-0.006139041984730559,,/scopes/global/matched_n8_contrasts/0,n16_k2_reference,llama8b,0.0011998800119988001,0.00019998000199980003,6.880832129892066,6.8387198094684445,paired_dlogppl,global,,runs/P20_analysis_attempt1/analysis_p20/P20_DENSITY_CONTROL_ANALYSIS.json,317bcc26ef06c21f37fb42fbfb1f874edce3edcc4c3e27ac691a0595067641b0,P20:global:matched_n8:llama8b:wiki:n16_k2_reference:p20_global_n8_u2_matched,141
,-0.0009751889958121265,-0.004029756156673061,231,p20_global_n8_u2_matched,c4,-0.0026499639297139443,-0.0026499639297139443,,/scopes/global/matched_n8_contrasts/1,n16_k2_reference,llama8b,0.013198680131986803,0.004399560043995601,9.800195829116573,9.77426004329114,paired_dlogppl,global,,runs/P20_analysis_attempt1/analysis_p20/P20_DENSITY_CONTROL_ANALYSIS.json,317bcc26ef06c21f37fb42fbfb1f874edce3edcc4c3e27ac691a0595067641b0,P20:global:matched_n8:llama8b:c4:n16_k2_reference:p20_global_n8_u2_matched,256
,0.02965386493951957,0.025084599937494838,53,p20_global_n8_u2_matched,wiki,0.027298341776795063,0.027298341776795063,,/scopes/global/matched_n8_contrasts/2,n16_k2_reference,qwen4b,0.0011998800119988001,0.00019998000199980003,10.865364580040433,11.16605653908429,paired_dlogppl,global,,runs/P20_analysis_attempt1/analysis_p20/P20_DENSITY_CONTROL_ANALYSIS.json,317bcc26ef06c21f37fb42fbfb1f874edce3edcc4c3e27ac691a0595067641b0,P20:global:matched_n8:qwen4b:wiki:n16_k2_reference:p20_global_n8_u2_matched,146
,0.013489370394036535,0.010486673144819065,231,p20_global_n8_u2_matched,c4,0.012001644626585078,0.012001644626585078,,/scopes/global/matched_n8_contrasts/3,n16_k2_reference,qwen4b,0.0011998800119988001,0.00019998000199980003,15.181660394713212,15.364963054070836,paired_dlogppl,global,,runs/P20_analysis_attempt1/analysis_p20/P20_DENSITY_CONTROL_ANALYSIS.json,317bcc26ef06c21f37fb42fbfb1f874edce3edcc4c3e27ac691a0595067641b0,P20:global:matched_n8:qwen4b:c4:n16_k2_reference:p20_global_n8_u2_matched,256
,0.0008833286566156406,-0.0006818662996944538,57,p20_global_n8_u2_matched,wiki,7.271564793177452e-05,7.271564793177452e-05,,/scopes/global/matched_n8_contrasts/4,n16_k2_reference,mistral7b,0.8643135686431357,0.8563143685631437,5.4963886895654674,5.496788377561922,paired_dlogppl,global,,runs/P20_analysis_attempt1/analysis_p20/P20_DENSITY_CONTROL_ANALYSIS.json,317bcc26ef06c21f37fb42fbfb1f874edce3edcc4c3e27ac691a0595067641b0,P20:global:matched_n8:mistral7b:wiki:n16_k2_reference:p20_global_n8_u2_matched,163
,0.0011563977388646019,-0.0006082047398223289,235,p20_global_n8_u2_matched,c4,0.000337584252608287,0.000337584252608287,,/scopes/global/matched_n8_contrasts/5,n16_k2_reference,mistral7b,0.8643135686431357,0.43215678432156784,8.045420439722827,8.048136905461106,paired_dlogppl,global,,runs/P20_analysis_attempt1/analysis_p20/P20_DENSITY_CONTROL_ANALYSIS.json,317bcc26ef06c21f37fb42fbfb1f874edce3edcc4c3e27ac691a0595067641b0,P20:global:matched_n8:mistral7b:c4:n16_k2_reference:p20_global_n8_u2_matched,256
