model,domain,bin,endpoint,tiles,sum_ce_mean,mean_combined_election_margin,estimate,ci95_low,ci95_high,relative_ppl_change,p_two_sided_plus_one
llama8b,wiki,3,group_only_vs_baseline,145,-0.0014482900429723111,2.8785825787234445e-06,-0.00028473773740583867,-0.001974304872597529,0.0013746426823389847,-0.00028469720346355947,0.7310268973102689
llama8b,wiki,4,full_context_marginal,145,-0.0011585064977636672,1.7185902586594494e-06,8.720555055814022e-05,-0.0012389800759745808,0.0015042888773867905,8.720935307269695e-05,0.8944105589441056
llama8b,wiki,4,group_only_vs_baseline,145,-0.0011585064977636672,1.7185902586594494e-06,7.693178321010575e-05,-0.0014317073104762742,0.0015438974275997777,7.693474253562793e-05,0.918108189181082
llama8b,wiki,5,full_context_marginal,145,-0.0008999646488621615,9.24455544726123e-07,0.00039533533884904043,-0.0011775475768183474,0.0019700105664356123,0.0003954134941629584,0.6315368463153684
llama8b,wiki,5,group_only_vs_baseline,145,-0.0008999646488621615,9.24455544726123e-07,-8.643087281441732e-05,-0.0015276578092125093,0.0013024482405288502,-8.642713777413797e-05,0.9012098790120988
llama8b,wiki,6,full_context_marginal,145,-0.000744170983857595,5.433969837994894e-07,-0.0008579662550987332,-0.0019819308478561063,0.0002827573204437619,-0.0008575983072877474,0.1364863513648635
llama8b,wiki,6,group_only_vs_baseline,145,-0.000744170983857595,5.433969837994894e-07,0.0004853558043390032,-0.0011143943419481138,0.002295286431760354,0.000485473608525617,0.56994300569943
llama8b,wiki,7,full_context_marginal,145,-0.0007852466456881313,2.584642508495035e-07,5.649790765357874e-06,-0.0013512603470502225,0.001313923680362578,5.649806725455777e-06,0.9923007699230078
llama8b,wiki,7,group_only_vs_baseline,145,-0.0007852466456881313,2.584642508495035e-07,0.0003334341147897723,-0.0012423499950818988,0.0018235970587867087,0.0003334897101231804,0.6697330266973303
llama8b,wiki,8,full_context_marginal,145,-0.0005659708103466499,7.635727524505679e-08,-0.00020477341101782272,-0.0012873282554657687,0.0009793487841555648,-0.00020475244637391775,0.7148285171482852
llama8b,wiki,8,group_only_vs_baseline,145,-0.0005659708103466499,7.635727524505679e-08,0.0006368939646069421,-0.0011613900015532224,0.002424750404691069,0.000637096824632508,0.4928507149285071
qwen4b,c4,1,full_context_marginal,414,-0.044847263009550616,1.4143548370759203e-05,-0.023360594710383847,-0.02502795166042441,-0.021727161095608113,-0.02308984838065488,9.999000099990002e-05
qwen4b,c4,1,group_only_vs_baseline,414,-0.044847263009550616,1.4143548370759203e-05,-0.03568187579043935,-0.0377266749655121,-0.03362324348259755,-0.03505278226857383,9.999000099990002e-05
qwen4b,c4,2,full_context_marginal,414,-0.016204428612586586,2.642814491890517e-06,-0.008060410120691464,-0.009363476365808447,-0.006794677827549278,-0.008028012120528866,9.999000099990002e-05
qwen4b,c4,2,group_only_vs_baseline,414,-0.016204428612586586,2.642814491890517e-06,-0.013843528931639612,-0.015313332491441855,-0.012348428303654234,-0.01374814792884075,9.999000099990002e-05
qwen4b,c4,3,full_context_marginal,414,-0.010749986303097137,1.3677578103409281e-06,-0.005251334249255356,-0.006418475148432603,-0.004053071430187053,-0.005237570097483701,9.999000099990002e-05
qwen4b,c4,3,group_only_vs_baseline,414,-0.010749986303097137,1.3677578103409281e-06,-0.010348615127459325,-0.011857674096471014,-0.008898592224152988,-0.010295252445186748,9.999000099990002e-05
qwen4b,c4,4,full_context_marginal,414,-0.007977154916778141,8.302398089093745e-07,-0.003924772477161691,-0.005187271842559982,-0.002701536592672936,-0.0039170806238779995,9.999000099990002e-05
qwen4b,c4,4,group_only_vs_baseline,414,-0.007977154916778141,8.302398089093745e-07,-0.007171790675733463,-0.008698952119114976,-0.005686662595549225,-0.007146134754588605,9.999000099990002e-05
qwen4b,c4,5,full_context_marginal,414,-0.006228855043090567,5.150500078036754e-07,-0.002329151359014283,-0.0035721834603890117,-0.0010555485266650893,-0.002326440990682082,9.999000099990002e-05
qwen4b,c4,5,group_only_vs_baseline,414,-0.006228855043090567,5.150500078036754e-07,-0.003863656479370344,-0.005430049652289822,-0.0023303294397204835,-0.00385620216207239,9.999000099990002e-05
qwen4b,c4,6,full_context_marginal,414,-0.004699845251383603,3.2988744406398073e-07,-0.0022036211823521965,-0.0034677989612445863,-0.000913350307506327,-0.002201194991656825,0.0006999300069993001
qwen4b,c4,6,group_only_vs_baseline,414,-0.004699845251383603,3.2988744406398073e-07,-0.003547313870106969,-0.004931415613856555,-0.0021388611388711946,-0.003541029585233496,9.999000099990002e-05
qwen4b,c4,7,full_context_marginal,414,-0.004217243401142594,2.0143604618844115e-07,-0.0020181255910771676,-0.003257818790953285,-0.0007374860034772172,-0.0020160905448496466,0.0014998500149985001
qwen4b,c4,7,group_only_vs_baseline,414,-0.004217243401142594,2.0143604618844115e-07,-0.004426060122572174,-0.006036784740396904,-0.002849446094617991,-0.004416279553584011,9.999000099990002e-05
qwen4b,c4,8,full_context_marginal,414,-0.004075839648204634,9.689672906048344e-08,-0.0016093465668421984,-0.0028092675931748103,-0.0003854091131364943,-0.0016080522630769764,0.0103989601039896
qwen4b,c4,8,group_only_vs_baseline,414,-0.004075839648204634,9.689672906048344e-08,-0.004466665362105025,-0.0059239717841574864,-0.00303433168694385,-0.004456704648286863,9.999000099990002e-05
qwen4b,wiki,1,full_context_marginal,414,-0.044847263009550616,1.4143548370759203e-05,-0.04512410517746559,-0.04849036026148657,-0.04196114267071425,-0.044121155042162144,9.999000099990002e-05
qwen4b,wiki,1,group_only_vs_baseline,414,-0.044847263009550616,1.4143548370759203e-05,-0.07117159985800715,-0.07618730541703696,-0.06639206831156441,-0.06869793288746892,9.999000099990002e-05
qwen4b,wiki,2,full_context_marginal,414,-0.016204428612586586,2.642814491890517e-06,-0.012781827113239833,-0.016130654799525603,-0.009478189225652866,-0.012700486490480832,9.999000099990002e-05
qwen4b,wiki,2,group_only_vs_baseline,414,-0.016204428612586586,2.642814491890517e-06,-0.028980738916201215,-0.032692943329641795,-0.0252376041548873,-0.028564824819275827,9.999000099990002e-05
qwen4b,wiki,3,full_context_marginal,414,-0.010749986303097137,1.3677578103409281e-06,-0.008769589814206101,-0.012309148706007448,-0.005167708477331358,-0.008731249120694621,9.999000099990002e-05
qwen4b,wiki,3,group_only_vs_baseline,414,-0.010749986303097137,1.3677578103409281e-06,-0.021330835088424722,-0.025141543938152097,-0.017592676634627654,-0.021104941840513675,9.999000099990002e-05
qwen4b,wiki,4,full_context_marginal,414,-0.007977154916778141,8.302398089093745e-07,-0.009218860545577103,-0.01185719246946192,-0.006513761229444936,-0.009176497131448443,9.999000099990002e-05
qwen4b,wiki,4,group_only_vs_baseline,414,-0.007977154916778141,8.302398089093745e-07,-0.013440851282251406,-0.017653794627345606,-0.009446628653235938,-0.013350926380591736,9.999000099990002e-05
