model,domain,row_type,name,selected_tiles,absolute_ppl,estimate,ci95_low,ci95_high,relative_ppl_change,p_two_sided_plus_one,holm_adjusted_p
qwen4b,wiki,contrast,kl_matched_k_minus_conjunction,,,0.02377450557930634,0.020833966866977825,0.026590581479493967,0.024059372178230065,9.999000099990002e-05,0.0023997600239976003
qwen4b,wiki,contrast,ce_matched_k_minus_kl_matched_k,,,-0.11757060504569138,-0.12290164326916084,-0.11273076417904224,-0.11092226384384705,9.999000099990002e-05,0.0023997600239976003
qwen4b,wiki,contrast,ce_matched_k_minus_random,,,-0.17906426986940435,-0.18719470164688642,-0.17150607512303265,-0.1639478352931477,9.999000099990002e-05,0.0023997600239976003
qwen4b,wiki,contrast,kl_matched_k_minus_random,,,-0.06149366482371292,-0.0663636708557142,-0.05715196185226398,-0.059641096940017686,9.999000099990002e-05,0.0023997600239976003
qwen4b,wiki,contrast,conjunction_minus_random,,,-0.08526817040301927,-0.09042978702616096,-0.08071672418576989,-0.08173400038340776,9.999000099990002e-05,0.0023997600239976003
mistral7b,c4,policy,four_over_six,0,8.067409980198462,0.0,0.0,0.0,0.0,1.0,
mistral7b,c4,policy,ce_natural,16696,8.047574923427568,-0.0024616922579941553,-0.0031694013549570773,-0.0017600657956391584,-0.0024586647783582175,9.999000099990002e-05,
mistral7b,c4,policy,kl_natural,38858,8.04083495370296,-0.0032995587930186934,-0.00400035531194587,-0.002600558135210714,-0.003294121231066911,9.999000099990002e-05,
mistral7b,c4,policy,conjunction,4179,8.04750641229958,-0.0024702055579973073,-0.003599842933151214,-0.0015375251376610157,-0.002467157110861566,0.00019998000199980003,
mistral7b,c4,policy,ce_matched_k,4179,8.051302312153345,-0.0019986303018293865,-0.002697816216680575,-0.0013235228295192674,-0.0019966343702189273,9.999000099990002e-05,
mistral7b,c4,policy,kl_matched_k,4179,8.041678930459348,-0.0031946029679218012,-0.004165555450640689,-0.0023620803213077963,-0.0031895056532706867,9.999000099990002e-05,
mistral7b,c4,policy,random_matched_k,4179,8.061232502629009,-0.0007660257678974687,-0.0014062320166081462,-0.00012766634089000502,-0.0007657324450613251,0.018598140185981403,
mistral7b,c4,contrast,ce_matched_k_minus_conjunction,,,0.00047157525616792087,-0.0004077358670658809,0.0015465616008876629,0.00047168646525950076,0.34766523347665235,0.6953304669533047
mistral7b,c4,contrast,kl_matched_k_minus_conjunction,,,-0.0007243974099244942,-0.001365607268973343,-9.139266588313224e-05,-0.000724135097464054,0.026597340265973404,0.07979202079792021
mistral7b,c4,contrast,ce_matched_k_minus_kl_matched_k,,,0.0011959726660924152,0.0004146484521744188,0.0021505384599903926,0.001196688126596742,0.0081991800819918,0.040995900409959006
mistral7b,c4,contrast,ce_matched_k_minus_random,,,-0.0012326045339319176,-0.0018934728790170141,-0.0005932071182822286,-0.0012318451889861014,0.00019998000199980003,0.001999800019998
mistral7b,c4,contrast,kl_matched_k_minus_random,,,-0.002428577200024333,-0.0035092797765893273,-0.0015723367147883497,-0.0024256305922535836,9.999000099990002e-05,0.0011998800119988001
mistral7b,c4,contrast,conjunction_minus_random,,,-0.0017041797900998385,-0.00299031381782966,-0.000686809107514508,-0.0017027285002580187,0.006799320067993201,0.04079592040795921
mistral7b,wiki,policy,four_over_six,0,5.5233090581954585,0.0,0.0,0.0,0.0,1.0,
mistral7b,wiki,policy,ce_natural,16696,5.504187463394534,-0.0034679882107436825,-0.004365737459556058,-0.002621003630829851,-0.0034619816851549365,9.999000099990002e-05,
mistral7b,wiki,policy,kl_natural,38858,5.495851403453707,-0.004983630407561349,-0.006039211448111825,-0.003949691005405095,-0.004971232725247662,9.999000099990002e-05,
mistral7b,wiki,policy,conjunction,4179,5.50187078542319,-0.003888970537601337,-0.004859224603846894,-0.0029804091983116807,-0.0038814182850147537,9.999000099990002e-05,
mistral7b,wiki,policy,ce_matched_k,4179,5.502193909305169,-0.00383024244193206,-0.004788495942386156,-0.002866214389748882,-0.0038229164198150976,9.999000099990002e-05,
mistral7b,wiki,policy,kl_matched_k,4179,5.496289302664212,-0.004903955442976602,-0.005722310482201731,-0.004000079813819264,-0.004891950685099312,9.999000099990002e-05,
mistral7b,wiki,policy,random_matched_k,4179,5.5122959789000605,-0.001995918287115186,-0.0029625800006173775,-0.0010070015600128562,-0.001993927766736345,0.00019998000199980003,
mistral7b,wiki,contrast,ce_matched_k_minus_conjunction,,,5.872809566927672e-05,-0.00089775519775774,0.0009798974077003312,5.872982019764645e-05,0.9007099290070993,0.9007099290070993
mistral7b,wiki,contrast,kl_matched_k_minus_conjunction,,,-0.001014984905375265,-0.0018120918863473205,-0.00020055329977297065,-0.0010144699824239372,0.012598740125987402,0.05039496050394961
mistral7b,wiki,contrast,ce_matched_k_minus_kl_matched_k,,,0.0010737130010445416,0.00029054356260780836,0.0018138015402715786,0.0010742896372109632,0.005699430056994301,0.039896010398960104
mistral7b,wiki,contrast,ce_matched_k_minus_random,,,-0.0018343241548168744,-0.0029282036570530035,-0.0007625952172956788,-0.001832642810465049,0.0007999200079992001,0.006399360063993601
mistral7b,wiki,contrast,kl_matched_k_minus_random,,,-0.0029080371558614163,-0.004034951753655601,-0.0018215959164663983,-0.0029038129115567276,9.999000099990002e-05,0.0011998800119988001
mistral7b,wiki,contrast,conjunction_minus_random,,,-0.0018930522504861512,-0.002856292647893877,-0.0009530937150854663,-0.0018912615572114937,0.00029997000299970003,0.0026997300269973002
