model,tensor,rotate_size,identity_norot_pct,identity_rotmin_pct,identity_allrot_pct,identity_rotated_share,spread_norot_pct,spread_rotmin_pct,spread_allrot_pct,spread_rotated_share,sorted_norot_pct,sorted_rotmin_pct,sorted_allrot_pct,sorted_rotated_share,random_norot_pct,random_rotmin_pct,random_allrot_pct,random_rotated_share
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",128,0.0,0.0,-0.2518,0.0,-0.0613,-0.0613,-0.194,0.0,-0.0961,-0.0961,-0.2828,0.0,-0.0657,-0.0657,-0.2346,0.0
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",16,0.0,0.0,-0.2122,0.0,0.063,0.063,-0.1439,0.0,0.0124,0.0124,-0.0407,0.0,-0.0166,-0.0166,-0.0771,0.0
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",64,0.0,0.0,-0.0529,0.0,0.0727,0.0727,-0.0421,0.0,0.0124,0.0124,-0.0186,0.0,0.0165,0.0165,-0.0356,0.0
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",128,0.0,0.0,-0.0627,0.0,0.0097,0.0097,-0.078,0.0,0.0124,0.0124,-0.1535,0.0,0.046,0.046,-0.0012,0.0
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",16,0.0,0.0,-0.2768,0.0,0.4238,0.4238,-0.1481,0.0,0.0616,0.0616,-0.0966,0.0,0.3418,0.3418,-0.163,0.0
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",64,0.0,0.0,-0.3904,0.0,0.161,0.161,-0.1146,0.0,0.0616,0.0616,-0.0243,0.0,0.4142,0.4142,-0.0521,0.0
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",128,0.0,0.0,-0.6234,0.0,0.1004,0.1004,-0.0577,0.0,0.0616,0.0616,-0.0018,0.0,0.3573,0.3573,-0.0868,0.0
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",16,0.0,0.0,-0.0724,0.0,0.0068,0.0068,-0.0799,0.0,-0.0527,-0.0527,-0.0612,0.0,0.0082,0.0082,-0.0848,0.0
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",64,0.0,0.0,-0.0666,0.0,-0.0293,-0.0293,-0.0475,0.0,-0.0527,-0.0527,-0.0448,0.0,-0.02,-0.02,-0.0861,0.0
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",128,0.0,0.0,-0.0363,0.0,-0.0332,-0.0332,-0.0651,0.0,-0.0527,-0.0527,-0.0547,0.0,0.0038,0.0038,-0.0617,0.0
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",16,0.0,0.0,-0.1347,0.0,0.0544,0.0544,-0.1311,0.0,0.0019,0.0019,-0.1098,0.0,0.0286,0.0286,-0.1323,0.0
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",64,0.0,0.0,-0.1145,0.0,-0.0047,-0.0047,-0.0831,0.0,0.0019,0.0019,-0.084,0.0,0.0262,0.0262,-0.1131,0.0
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",128,0.0,0.0,-0.1132,0.0,-0.0152,-0.0152,-0.1356,0.0,0.0019,0.0019,-0.0989,0.0,0.0303,0.0303,-0.1328,0.0
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",16,0.0,0.0,-0.2282,0.0,0.0272,0.0272,-0.293,0.0,-0.1021,-0.1021,-0.3122,0.0,-0.0458,-0.0458,-0.2778,0.0
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",64,0.0,0.0,-0.2297,0.0,-0.0078,-0.0078,-0.2264,0.0,-0.1021,-0.1021,-0.294,0.0,-0.0553,-0.0553,-0.2959,0.0
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",128,0.0,0.0,-0.2619,0.0,-0.006,-0.006,-0.2112,0.0,-0.1021,-0.1021,-0.2227,0.0,0.0835,0.0835,-0.2047,0.0
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",16,0.0,0.0,-0.2078,0.0,-0.1802,-0.1802,-0.242,0.0,-0.2533,-0.2533,-0.2303,0.0,-0.0047,-0.0047,-0.2555,0.0
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",64,0.0,0.0,-0.3213,0.0,-0.2014,-0.2014,-0.1772,0.0,-0.2533,-0.2533,-0.2078,0.0,-0.1304,-0.1304,-0.2918,0.0
