model,corpus,kind,pool,p,policy,absolute_ppl,delta_nll,ci95_low,ci95_high,relative_ppl_change
llama8b,c4,matched_random,2,0.5,corruption_random_pool02_p050,9.801349560611602,0.0025731145937640384,0.0013778920964800428,0.0038176513105604984,0.002576427894344917
llama8b,c4,matched_random,3,0.5,corruption_random_pool03_p050,9.798691352801587,0.0023018694634048113,0.0010217393618868792,0.003618128943631366,0.002304520798870512
llama8b,c4,matched_random,4,0.5,corruption_random_pool04_p050,9.794508458447078,0.0018748953643938414,0.0006429101694251956,0.003103577437853772,0.0018766540796715094
llama8b,wiki,near_boundary,1,0.0,corruption_p000_anchor,6.843237338969587,0.0,0.0,0.0,0.0
llama8b,wiki,near_boundary,1,0.1,corruption_near_pool01_p010,6.844615832231476,0.00020141847655761068,-0.0013287045424186898,0.0017701431149342328,0.0002014387626209332
llama8b,wiki,near_boundary,1,0.25,corruption_near_pool01_p025,6.852304031830951,0.00132403589466393,-4.3846046231635904e-05,0.0027137335914641488,0.0013249128171720283
llama8b,wiki,near_boundary,1,0.5,corruption_near_pool01_p050,6.855816709770059,0.0018365318205768389,0.00020141601817672008,0.0034158554617105073,0.0018382192780058049
llama8b,wiki,near_boundary,1,0.75,corruption_near_pool01_p075,6.862921649321633,0.002872332635612653,0.0013674162333781718,0.0042966950566212395,0.0028764617354337125
llama8b,wiki,near_boundary,1,1.0,corruption_near_pool01_p100,6.8683856517179604,0.003668178590398793,0.00221762210428231,0.005077683499149485,0.0036749145912507307
llama8b,wiki,near_boundary,2,0.0,corruption_p000_anchor,6.843237338969587,0.0,0.0,0.0,0.0
llama8b,wiki,near_boundary,2,0.1,corruption_near_pool02_p010,6.837371801608722,-0.0008574965719742076,-0.002297490424115046,0.0006299898890361897,-0.0008571290268524678
llama8b,wiki,near_boundary,2,0.25,corruption_near_pool02_p025,6.840294734941357,-0.0004300942267988662,-0.0018392556175278012,0.0009154882254106524,-0.00043000174953535756
llama8b,wiki,near_boundary,2,0.5,corruption_near_pool02_p050,6.85343324140146,0.0014888150014797333,5.582512472371727e-05,0.0029808300765480898,0.0014899238367492974
llama8b,wiki,near_boundary,2,0.75,corruption_near_pool02_p075,6.854417045744683,0.001632353824023888,6.05864551917116e-05,0.0031922166799534797,0.0016336868387458417
llama8b,wiki,near_boundary,2,1.0,corruption_near_pool02_p100,6.863249325429717,0.002920077357538827,0.0016335733182888579,0.00419586944073213,0.0029243449363015356
llama8b,wiki,near_boundary,3,0.0,corruption_p000_anchor,6.843237338969587,0.0,0.0,0.0,0.0
llama8b,wiki,near_boundary,3,0.1,corruption_near_pool03_p010,6.847409379729781,0.0006094731644249175,-0.0006738212291065299,0.0019080941367103123,0.000609658930931978
llama8b,wiki,near_boundary,3,0.25,corruption_near_pool03_p025,6.850101372604182,0.0010025362483282439,-0.0004750231695313421,0.002412912157811325,0.0010030389557729592
llama8b,wiki,near_boundary,3,0.5,corruption_near_pool03_p050,6.848393897737065,0.0007532424620740546,-0.0008655885904223666,0.0023967303154349496,0.000753526220419196
llama8b,wiki,near_boundary,3,0.75,corruption_near_pool03_p075,6.868568615501318,0.0036948167781376442,0.002192231353538087,0.005204556456398907,0.00370165102815792
llama8b,wiki,near_boundary,3,1.0,corruption_near_pool03_p100,6.87125389741848,0.004085692562570712,0.002643121177587661,0.0054475200906174606,0.0040940503830471184
llama8b,wiki,near_boundary,4,0.0,corruption_p000_anchor,6.843237338969587,0.0,0.0,0.0,0.0
llama8b,wiki,near_boundary,4,0.1,corruption_near_pool04_p010,6.84290995468011,-4.784170190876774e-05,-0.001497994670877161,0.0014020435272928615,-4.7840557512797e-05
llama8b,wiki,near_boundary,4,0.25,corruption_near_pool04_p025,6.850426325272456,0.0010499727669068524,-0.00023473084066272376,0.00233983210543464,0.001050524181285615
llama8b,wiki,near_boundary,4,0.5,corruption_near_pool04_p050,6.859341274129635,0.002350498111201798,0.0011964633557953986,0.003556901131556528,0.0023532626975144738
llama8b,wiki,near_boundary,4,0.75,corruption_near_pool04_p075,6.866393825841803,0.003378137400674721,0.0018462153205188044,0.004938797495553583,0.003383849737365191
llama8b,wiki,near_boundary,4,1.0,corruption_near_pool04_p100,6.87350847064507,0.0044137554546657375,0.002852751462437364,0.005975504921861856,0.004423510420002614
llama8b,wiki,matched_random,1,0.5,corruption_random_pool01_p050,6.859191630307587,0.002328681810131455,0.0008667212248737029,0.0038146028173907426,0.0023313952954904043
llama8b,wiki,matched_random,2,0.5,corruption_random_pool02_p050,6.860506330150047,0.0025203332371923105,0.0011922493064389606,0.0037687012641268677,0.002523511946913846
llama8b,wiki,matched_random,3,0.5,corruption_random_pool03_p050,6.855242586051752,0.0017527857428658214,0.0004152188040387293,0.002998648303278399,0.0017543227696910674
llama8b,wiki,matched_random,4,0.5,corruption_random_pool04_p050,6.8608196317699,0.0025659996138642973,0.0009449162845794712,0.004170688197057133,0.0025692946085891168
qwen4b,c4,near_boundary,1,0.0,corruption_p000_anchor,16.048517959734426,0.0,0.0,0.0,0.0
qwen4b,c4,near_boundary,1,0.1,corruption_near_pool01_p010,16.124964118830285,0.004752131135378294,0.003538716718725233,0.005926542359488927,0.00476344041784344
