model,corpus,partition,side,band,policy,tiles,mean_kappa,absolute_ppl,delta_nll,ci95_low,ci95_high,relative_ppl_change
llama8b,wiki,1,selected,4,boundary_part01_selected_band04,370,3.077384410769794,6.877301084490495,0.0002763602567611071,-0.0013911566258105106,0.0019265323811915596,0.00027639844777494404
llama8b,wiki,1,rejected,1,boundary_part01_rejected_band01,370,2.9330964700669164,6.867611195019975,-0.0011336001531350422,-0.0028852434864599166,0.0005064634950741864,-0.0011329578712013396
llama8b,wiki,1,rejected,2,boundary_part01_rejected_band02,370,2.8414831118133663,6.869868668562026,-0.0008049410999770117,-0.002568155362144797,0.0008821638416210575,-0.0008046172217965774
llama8b,wiki,1,rejected,3,boundary_part01_rejected_band03,370,2.7688399137671325,6.8739363787124725,-0.00021300746075081036,-0.0015932163932387991,0.001187799825458358,-0.00021298477627232557
llama8b,wiki,1,rejected,4,boundary_part01_rejected_band04,370,2.7100122849603974,6.881791924510044,0.0009291416829911829,-0.0007562490635484273,0.0025183604401165746,0.0009295734688444417
llama8b,wiki,2,selected,1,boundary_part02_selected_band01,370,5.007252511080904,6.847968106383185,-0.003997949027543724,-0.0058351949577029666,-0.0022527860164607678,-0.003989967868961303
llama8b,wiki,2,selected,2,boundary_part02_selected_band02,370,3.7263814925851464,6.870048377982452,-0.0007787823655624741,-0.002269486939202129,0.0006292806478966208,-0.0007784791932828676
llama8b,wiki,2,selected,3,boundary_part02_selected_band03,370,3.2994865749838054,6.863702990211579,-0.0017028399012334549,-0.0033006341823278297,-8.67691721716712e-05,-0.001701390891962472
llama8b,wiki,2,selected,4,boundary_part02_selected_band04,370,3.0776370457413442,6.879461362943122,0.0005904281166431133,-0.001049174242216594,0.0022763435402452284,0.00059060245363304
llama8b,wiki,2,rejected,1,boundary_part02_rejected_band01,370,2.9330964700669164,6.867611195019975,-0.0011336001531350422,-0.0028819475253930417,0.0005103934837647511,-0.0011329578712013396
llama8b,wiki,2,rejected,2,boundary_part02_rejected_band02,370,2.8414831118133663,6.869868668562026,-0.0008049410999770117,-0.0025910926298000837,0.0008796947584351871,-0.0008046172217965774
llama8b,wiki,2,rejected,3,boundary_part02_rejected_band03,370,2.7688399137671325,6.8739363787124725,-0.00021300746075081036,-0.0015875520413262613,0.0011798740045412036,-0.00021298477627232557
llama8b,wiki,2,rejected,4,boundary_part02_rejected_band04,370,2.7100122849603974,6.881791924510044,0.0009291416829911829,-0.0007336464425722743,0.002532419525895126,0.0009295734688444417
llama8b,wiki,3,selected,1,boundary_part03_selected_band01,370,5.028158890247054,6.8592690190550805,-0.0023490514227300432,-0.0038824389731426765,-0.0007232915918259275,-0.002346294560529589
llama8b,wiki,3,selected,2,boundary_part03_selected_band02,370,3.750444150842071,6.873997424745911,-0.0002041267032055199,-0.002060879453780387,0.0016902334776997885,-0.00020410587076754886
llama8b,wiki,3,selected,3,boundary_part03_selected_band03,370,3.309679142450224,6.87255029577957,-0.0004146710523895574,-0.0019275405364713135,0.0009132988928627278,-0.0004145850882314057
llama8b,wiki,3,selected,4,boundary_part03_selected_band04,370,3.08109561323136,6.875951320446049,8.007736904186644e-05,-0.0016982623501729595,0.0019051817646371849,8.008057531996564e-05
llama8b,wiki,3,rejected,1,boundary_part03_rejected_band01,370,2.9330964700669164,6.867611195019975,-0.0011336001531350422,-0.0028106497799089947,0.0004537778115847113,-0.0011329578712013396
llama8b,wiki,3,rejected,2,boundary_part03_rejected_band02,370,2.8414831118133663,6.869868668562026,-0.0008049410999770117,-0.0026333102119877046,0.0008775769466138917,-0.0008046172217965774
llama8b,wiki,3,rejected,3,boundary_part03_rejected_band03,370,2.7688399137671325,6.8739363787124725,-0.00021300746075081036,-0.0015611898158638966,0.0011476076658749747,-0.00021298477627232557
llama8b,wiki,3,rejected,4,boundary_part03_rejected_band04,370,2.7100122849603974,6.881791924510044,0.0009291416829911829,-0.0007359700089967808,0.002540056511513758,0.0009295734688444417
llama8b,wiki,4,selected,1,boundary_part04_selected_band01,370,5.029333085154964,6.855821768519954,-0.002851745959882616,-0.004368752763249565,-0.001313758121405352,-0.002847683594901257
llama8b,wiki,4,selected,2,boundary_part04_selected_band02,370,3.771644350421662,6.8778240881895085,0.0003524051771384301,-0.0009451759198965087,0.0015659256351574003,0.00035246727913767486
llama8b,wiki,4,selected,3,boundary_part04_selected_band03,370,3.3148077733484436,6.872361421916753,-0.0004421537844322146,-0.002284635170289508,0.001273532372299331,-0.0004420560488529202
llama8b,wiki,4,selected,4,boundary_part04_selected_band04,370,3.092569164255792,6.874025164665917,-0.00020009122540077994,-0.0016687202571017666,0.0012707400139950408,-0.00020007120848663065
llama8b,wiki,4,rejected,1,boundary_part04_rejected_band01,370,2.9330964700669164,6.867611195019975,-0.0011336001531350422,-0.0028025399290704293,0.0005016170272197292,-0.0011329578712013396
llama8b,wiki,4,rejected,2,boundary_part04_rejected_band02,370,2.8414831118133663,6.869868668562026,-0.0008049410999770117,-0.002565027369258207,0.0008843101057326969,-0.0008046172217965774
llama8b,wiki,4,rejected,3,boundary_part04_rejected_band03,370,2.7688399137671325,6.8739363787124725,-0.00021300746075081036,-0.0015890759932035514,0.001180050606687666,-0.00021298477627232557
