key,group,fine,shape,signal,nmse_nvfp4,nmse_nvfp4_4over6,nmse_mixfp4,nmse_mix_4_6,e0m3_mixfp4,e0m3_mix_4_6
model.decoder.layers.18.experts.down_proj,moe_experts,expert_down,128x2816x704,497768.22412109375,0.009003049491874877,0.007556207013284039,0.007609331504448495,0.0072855287263377064,0.9104850953444839,0.46344748896081
model.decoder.layers.18.experts.gate_up_proj,moe_experts,expert_gate_up,128x1408x2816,466822.2978515625,0.00899192717269987,0.007554333841649268,0.007651668764312623,0.007303471960732367,0.8949075122363865,0.4442108201328665
model.decoder.layers.18.mlp.down_proj.weight,dense_mlp,down_proj,2816x2112,7189.7353515625,0.0089018245123901,0.007550571334709898,0.008060133370205924,0.007445864917147371,0.7061811685562134,0.22451791167259216
model.decoder.layers.18.mlp.gate_proj.weight,dense_mlp,gate_proj,2112x2816,5020.14013671875,0.008890672807004832,0.007547203570004689,0.007960011441219144,0.0074017263239079855,0.7449207901954651,0.2722107470035553
model.decoder.layers.18.mlp.up_proj.weight,dense_mlp,up_proj,2112x2816,6162.7705078125,0.008898686206725523,0.007560755268412565,0.008011762991118068,0.007439550092050346,0.7440599203109741,0.2530991733074188
model.decoder.layers.18.self_attn.k_proj.weight,attention,k_proj,2048x2816,6034.8916015625,0.00895002712699861,0.007546284341514005,0.007851609724714466,0.007378810750641331,0.8370028734207153,0.34889915585517883
model.decoder.layers.18.self_attn.o_proj.weight,attention,o_proj,2816x4096,11811.9140625,0.009014232037592804,0.007557713056203185,0.007537232646295286,0.007248048586652777,0.9256037473678589,0.5005326867103577
model.decoder.layers.18.self_attn.q_proj.weight,attention,q_proj,4096x2816,13806.91015625,0.008942065540734952,0.007541102982605517,0.007861914838485258,0.007365077056601527,0.8085494041442871,0.31201171875
model.decoder.layers.18.self_attn.v_proj.weight,attention,v_proj,2048x2816,6784.2099609375,0.008805518636306646,0.007537758081473942,0.008090223183112324,0.007414663679707201,0.5537109375,0.1923828125
model.decoder.layers.19.experts.down_proj,moe_experts,expert_down,128x2816x704,503155.32177734375,0.008997643797923421,0.007555013410117183,0.007607817890435095,0.007286564160394947,0.9115363131277263,0.467018800904043
model.decoder.layers.19.experts.gate_up_proj,moe_experts,expert_gate_up,128x1408x2816,502312.8845214844,0.00899497565539815,0.00755293579529934,0.007628558952907816,0.0072920262095589735,0.8967062830924988,0.45343267964199185
model.decoder.layers.19.mlp.down_proj.weight,dense_mlp,down_proj,2816x2112,6436.509765625,0.008886048949087436,0.007546184573142774,0.008020588412340733,0.007435600303201979,0.7280475497245789,0.23364324867725372
model.decoder.layers.19.mlp.gate_proj.weight,dense_mlp,gate_proj,2112x2816,5147.0869140625,0.0089100144133979,0.007558389273969252,0.007982755505664707,0.007416315507985118,0.7342458963394165,0.2662706673145294
model.decoder.layers.19.mlp.up_proj.weight,dense_mlp,up_proj,2112x2816,6378.6435546875,0.008911142773638412,0.007560184849927224,0.008034899291053168,0.00744629790230951,0.7318354249000549,0.24354338645935059
model.decoder.layers.19.self_attn.k_proj.weight,attention,k_proj,2048x2816,5728.4052734375,0.008870845108335704,0.007539504735174748,0.007886860024323688,0.007382094344810938,0.8151633739471436,0.35537996888160706
model.decoder.layers.19.self_attn.o_proj.weight,attention,o_proj,2816x4096,10560.064453125,0.009021586927958425,0.007563503658064276,0.007543735266110733,0.007230020234649151,0.9025213122367859,0.48006924986839294
model.decoder.layers.19.self_attn.q_proj.weight,attention,q_proj,4096x2816,12260.0478515625,0.008946714594908561,0.007547334147118965,0.007818253138429425,0.007352443704697256,0.8255948424339294,0.35205078125
model.decoder.layers.19.self_attn.v_proj.weight,attention,v_proj,2048x2816,5879.70947265625,0.008860484800872306,0.007633376840332031,0.008135445001492736,0.007528752300869192,0.5981001853942871,0.1798650622367859
model.decoder.layers.2.experts.down_proj,moe_experts,expert_down,128x2816x704,510824.0676269531,0.009000873366528184,0.007555619994107675,0.007600502758949188,0.007282910117565421,0.9137053322046995,0.47363884549122304
model.decoder.layers.2.experts.gate_up_proj,moe_experts,expert_gate_up,128x1408x2816,463271.3876953125,0.008999078492352064,0.007555843579594483,0.007648674297502462,0.007311908099356862,0.9098172406665981,0.44586331059690565
model.decoder.layers.2.mlp.down_proj.weight,dense_mlp,down_proj,2816x2112,8289.7265625,0.008699918965610672,0.007517313682751618,0.008339295317410952,0.007489452129188519,0.4206267297267914,0.07730716466903687
model.decoder.layers.2.mlp.gate_proj.weight,dense_mlp,gate_proj,2112x2816,7232.98974609375,0.008870030197129404,0.007540598140653687,0.008170403811630237,0.007467119362016067,0.6490185856819153,0.1668388396501541
model.decoder.layers.2.mlp.up_proj.weight,dense_mlp,up_proj,2112x2816,7201.3515625,0.008825593554656352,0.007542696842796437,0.008201610849417373,0.007479392169018294,0.616132915019989,0.15203168988227844
model.decoder.layers.2.self_attn.k_proj.weight,attention,k_proj,2048x2816,7199.9736328125,0.00888303830865266,0.007548778415868765,0.007859478168865364,0.0073706939200488064,0.7923473119735718,0.3676314055919647
model.decoder.layers.2.self_attn.o_proj.weight,attention,o_proj,2816x4096,14230.310546875,0.00902326224220994,0.0075637818046700766,0.0075886628457576865,0.0072758060573758785,0.9082919359207153,0.4779829680919647
model.decoder.layers.2.self_attn.q_proj.weight,attention,q_proj,4096x2816,13880.833984375,0.008915748597119988,0.007539707271520266,0.007795394254273998,0.007347223386471651,0.8319424986839294,0.3780628740787506
