model,draw_a,draw_b,ranking,scope,U,K_a,K_b,intersection,jaccard,containment_a_to_b,containment_b_to_a,overlap_coefficient,empty_a,empty_b,expected_intersection_module,expected_intersection_global,null_intersection_mean,null_jaccard_lo,null_jaccard_median,null_jaccard_hi,null_containment_a_lo,null_containment_a_median,null_containment_a_hi,null_containment_b_lo,null_containment_b_median,null_containment_b_hi,allocation_share_L1,allocation_spearman
qwen4b,seed0,draw1,natural_joint,natural,3548160,4077,3925,1291,0.1923707346148115,0.316654402747118,0.3289171974522293,0.3289171974522293,False,False,34.72575555098685,4.510006594967533,34.797,0.0030051300997532664,0.004393121626710179,0.0059113954578866165,0.005880549423595781,0.008584743684081433,0.011534216335540833,0.00610828025477707,0.008917197452229299,0.011980891719745217,0.2558837911602918,0.9072392464542985
qwen4b,seed0,draw2,natural_joint,natural,3548160,4077,4278,1268,0.17891914773528997,0.31101299975472163,0.29640018700327253,0.31101299975472163,False,False,32.73506887335526,4.915619926948052,32.76,0.0026401056042241688,0.003965392934390771,0.0052941884249789435,0.005396124601422614,0.008094186902133923,0.010792249202845229,0.005142589995324918,0.007713884992987377,0.010285179990649837,0.3627172029594403,0.886975347161798
qwen4b,seed0,draw3,natural_joint,natural,3548160,4077,3433,1169,0.18435577984545023,0.28673043904831985,0.34051849694145064,0.34051849694145064,False,False,28.430715460526315,3.9446758319805193,28.542,0.0025363769857161926,0.0037423148890670943,0.005220184714228349,0.004660289428501349,0.006867794947265146,0.009565857247976454,0.005534517914360618,0.00815613166326828,0.011360326245266531,0.2604625023068529,0.9075836412902221
qwen4b,seed0,draw4,natural_joint,natural,3548160,4077,2512,948,0.1680553093423152,0.23252391464311994,0.37738853503184716,0.37738853503184716,False,False,25.99976870888158,2.886404220779221,25.946,0.0025867315885575166,0.003961602925491391,0.005493667022737677,0.004169732646553839,0.006377238165317636,0.008830022075055188,0.006767515923566879,0.010350318471337579,0.014331210191082803,0.5416735016536762,0.7118887802740193
qwen4b,draw1,draw2,natural_joint,natural,3548160,3925,4278,1293,0.18712011577424023,0.3294267515923567,0.3022440392706872,0.3294267515923567,False,False,32.87161287006579,4.732354234307359,32.28,0.0026891578046693556,0.00391628931587321,0.00539281774727295,0.005605095541401274,0.008152866242038216,0.011210191082802547,0.005142589995324918,0.0074801309022907905,0.010285179990649837,0.48767177947907087,0.8015783683298221
qwen4b,draw1,draw3,natural_joint,natural,3548160,3925,3433,1165,0.18811561440335864,0.2968152866242038,0.33935333527526945,0.33935333527526945,False,False,29.29619140625,3.797609183351371,28.986,0.002588908570649952,0.003956883613044072,0.0053285968028419185,0.004840764331210191,0.007388535031847133,0.009936305732484076,0.005534517914360618,0.008447422079813574,0.011360326245266531,0.3533766125336515,0.8696370427830119
qwen4b,draw1,draw4,natural_joint,natural,3548160,3925,2512,961,0.17549306062819575,0.2448407643312102,0.3825636942675159,0.3825636942675159,False,False,27.788456003289472,2.778792388167388,27.915,0.0028041751051565665,0.004368856295833983,0.006095654892153798,0.0045859872611464965,0.0071337579617834395,0.009936305732484076,0.007165605095541401,0.011146496815286623,0.01552547770700637,0.4767197452229298,0.7755178028018664
qwen4b,draw2,draw3,natural_joint,natural,3548160,4278,3433,1231,0.18996913580246913,0.28775128564749886,0.35857850276725894,0.35857850276725894,False,False,29.23310032894737,4.139152123917749,29.295,0.002600442075152776,0.0037750585784951836,0.005083420229405631,0.004675081813931743,0.006778868630201029,0.0091164095371669,0.005825808330905913,0.008447422079813574,0.011360326245266531,0.281555542573,0.8877930901128502
qwen4b,draw2,draw4,natural_joint,natural,3548160,4278,2512,882,0.14928909952606634,0.2061711079943899,0.35111464968152867,0.35111464968152867,False,False,22.679209498355263,3.02870670995671,22.43,0.002066115702479339,0.0032505910165484633,0.004735128736312519,0.0032725572697522207,0.005142589995324918,0.0074801309022907905,0.005573248407643312,0.00875796178343949,0.012738853503184714,0.7760360368408359,0.5909108499175939
qwen4b,draw3,draw4,natural_joint,natural,3548160,3433,2512,839,0.16431649040344692,0.24439265948150307,0.3339968152866242,0.3339968152866242,False,False,21.693929893092104,2.430469877344877,21.558,0.002191503708698584,0.003714333952388992,0.005076099923073203,0.0037867754150888435,0.006408389163996504,0.008745994756772495,0.0051751592356687895,0.00875796178343949,0.011952627388535024,0.6149785428428831,0.6744874002906646
mistral7b,seed0,draw1,natural_joint,natural,6815744,4179,3800,2179,0.3756896551724138,0.5214166068437425,0.5734210526315789,0.5734210526315789,False,False,32.898716517857146,2.3299290583683896,32.656,0.0027648611285660423,0.004153032972564813,0.005545053560176433,0.005264417324718832,0.007896625987078248,0.010528834649437664,0.005789473684210527,0.008684210526315789,0.011578947368421053,0.1951846954068589,0.6753738586268905
mistral7b,seed0,draw2,natural_joint,natural,6815744,4179,4508,2458,0.3946058757424948,0.5881789901890404,0.5452528837622005,0.5881789901890404,False,False,39.445826939174104,2.7640316302959738,39.288,0.0032336297493936943,0.004509713228492137,0.006138522121843873,0.006700167504187605,0.00933237616654702,0.012682459918640823,0.006211180124223602,0.00865128660159716,0.011756876663708962,0.2321775990273759,0.6859822637802941
mistral7b,seed0,draw3,natural_joint,natural,6815744,4179,3411,2163,0.39856274184632395,0.5175879396984925,0.6341248900615655,0.6341248900615655,False,False,31.154044015066965,2.091417899498573,31.401,0.0027744748315497426,0.004101071570313534,0.005564387917329093,0.005025125628140704,0.007418042593921991,0.010050251256281407,0.006156552330694811,0.00908824391673996,0.012313104661389622,0.17751108434074714,0.6926185201037283
mistral7b,seed0,draw4,natural_joint,natural,6815744,4179,3355,2020,0.36634022488211826,0.48336922708782004,0.6020864381520119,0.6020864381520119,False,False,28.6209716796875,2.0570821028489332,28.635,0.0025282767797737858,0.0037303490540900614,0.0053376034160661865,0.004546542234984446,0.006700167504187605,0.00957166786312515,0.005663189269746647,0.00834575260804769,0.011922503725782414,0.211935413352334,0.621961476298791
mistral7b,draw1,draw2,natural_joint,natural,6815744,3800,4508,2341,0.39232445114798054,0.6160526315789474,0.519299023957409,0.6160526315789474,False,False,37.249276297433035,2.5133573091947117,37.004,0.003018230109863576,0.00447346149195986,0.005932921661218065,0.006578947368421052,0.009736842105263158,0.012894736842105263,0.005545696539485359,0.008207630878438331,0.010869565217391304,0.16875262690888712,0.7067176098765218
mistral7b,draw1,draw3,natural_joint,natural,6815744,3800,3411,2025,0.39047435403008096,0.5328947368421053,0.5936675461741425,0.5936675461741425,False,False,27.974199567522323,1.9017439622145433,27.924,0.002502432920895315,0.0038980927189196713,0.005437813720022309,0.004736842105263158,0.007368421052631579,0.010263157894736842,0.005277044854881266,0.008208736440926415,0.011433597185576077,0.23462651792189354,0.6614448563187048
mistral7b,draw1,draw4,natural_joint,natural,6815744,3800,3355,1908,0.36363636363636365,0.5021052631578947,0.5687034277198212,0.5687034277198212,False,False,26.400137765066965,1.8705221322866588,26.411,0.0023816195012608572,0.0036470753261326973,0.005060419996099698,0.0044736842105263155,0.006842105263157895,0.009480263157894731,0.005067064083457526,0.007749627421758569,0.01073770491803278,0.17832065260020397,0.6558810795023505
mistral7b,draw2,draw3,natural_joint,natural,6815744,4508,3411,2178,0.3793764152586657,0.4831410825199645,0.6385224274406333,0.6385224274406333,False,False,33.16264125279018,2.2560688899113583,33.049,0.002785868051158668,0.004184630991630738,0.005587301587301587,0.0048802129547471165,0.007320319432120674,0.009760425909494233,0.006449721489299325,0.009674582233948988,0.01289944297859865,0.3011069672027734,0.6552087491616293
mistral7b,draw2,draw4,natural_joint,natural,6815744,4508,3355,2093,0.36273830155979203,0.4642857142857143,0.6238450074515648,0.6238450074515648,False,False,31.687473842075892,2.2190299400916467,31.464,0.0026778882938026014,0.003958120531154239,0.005373371367859694,0.004658385093167702,0.006876663708961846,0.009322315882874884,0.0062593144560357675,0.009239940387481372,0.012526080476900143,0.23774300233927564,0.6533580427286557
mistral7b,draw3,draw4,natural_joint,natural,6815744,3411,3355,1913,0.39418916134349885,0.5608326004104368,0.570193740685544,0.570193740685544,False,False,24.237191336495535,1.6790397350604718,24.145,0.0022218930528810545,0.0035597745476119848,0.005050505050505051,0.0043975373790677225,0.007036059806508356,0.009967751392553504,0.004470938897168405,0.007153502235469449,0.010134128166915052,0.22671404559894545,0.6453586482078518
