model,module,U,draws,all_empty,source_sha256,interpretation,K_mean,K_sample_sd,K_min,K_max,K_range,density_mean,density_sample_sd,density_min,density_max,density_range,density_ratio_denominator_zero
mistral7b,model.layers.30.self_attn.k_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.0,1.4142135623730951,0.0,3.0,3.0,0.000244140625,0.00034526698300124393,0.0,0.000732421875,0.000732421875,True
mistral7b,model.layers.30.self_attn.o_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,14.6,3.2093613071762426,11.0,19.0,8.0,0.00089111328125,0.0001958838688462062,0.00067138671875,0.00115966796875,0.00048828125,False
mistral7b,model.layers.30.self_attn.q_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,2.8,0.8366600265340756,2.0,4.0,2.0,0.0001708984375,5.106567544763645e-05,0.0001220703125,0.000244140625,0.0001220703125,False
mistral7b,model.layers.30.self_attn.v_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,15.8,4.494441010848846,10.0,22.0,12.0,0.003857421875,0.0010972756374142691,0.00244140625,0.00537109375,0.0029296875,False
mistral7b,model.layers.31.mlp.down_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,33.0,9.591663046625438,23.0,48.0,25.0,0.0005754743303571428,0.0001672653293566099,0.00040108816964285713,0.0008370535714285714,0.00043596540178571425,False
mistral7b,model.layers.31.mlp.gate_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,39.6,7.162401831787993,33.0,51.0,18.0,0.0006905691964285714,0.0001249023756938475,0.0005754743303571429,0.0008893694196428571,0.00031389508928571425,False
mistral7b,model.layers.31.mlp.up_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,31.8,5.630275304103699,25.0,39.0,14.0,0.0005545479910714286,9.818420940471015e-05,0.0004359654017857143,0.0006801060267857143,0.00024414062499999995,False
mistral7b,model.layers.31.self_attn.k_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,16.4,10.406728592598157,8.0,34.0,26.0,0.00400390625,0.0025407052228022843,0.001953125,0.00830078125,0.00634765625,False
mistral7b,model.layers.31.self_attn.o_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,383.4,43.310506808394656,336.0,448.0,112.0,0.02340087890625,0.0026434635503170567,0.0205078125,0.02734375,0.0068359375,False
mistral7b,model.layers.31.self_attn.q_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,69.4,18.0914344373242,45.0,91.0,46.0,0.00423583984375,0.0011042135276687134,0.00274658203125,0.00555419921875,0.0028076171875,False
