model,module,frequency,tiles,U
llama8b,model.layers.12.mlp.down_proj,5,0,57344
llama8b,model.layers.12.mlp.gate_proj,0,57308,57344
llama8b,model.layers.12.mlp.gate_proj,1,33,57344
llama8b,model.layers.12.mlp.gate_proj,2,2,57344
llama8b,model.layers.12.mlp.gate_proj,3,1,57344
llama8b,model.layers.12.mlp.gate_proj,4,0,57344
llama8b,model.layers.12.mlp.gate_proj,5,0,57344
llama8b,model.layers.12.mlp.up_proj,0,57258,57344
llama8b,model.layers.12.mlp.up_proj,1,69,57344
llama8b,model.layers.12.mlp.up_proj,2,9,57344
llama8b,model.layers.12.mlp.up_proj,3,3,57344
llama8b,model.layers.12.mlp.up_proj,4,3,57344
llama8b,model.layers.12.mlp.up_proj,5,2,57344
llama8b,model.layers.12.self_attn.k_proj,0,4067,4096
llama8b,model.layers.12.self_attn.k_proj,1,21,4096
llama8b,model.layers.12.self_attn.k_proj,2,6,4096
llama8b,model.layers.12.self_attn.k_proj,3,1,4096
llama8b,model.layers.12.self_attn.k_proj,4,1,4096
llama8b,model.layers.12.self_attn.k_proj,5,0,4096
llama8b,model.layers.12.self_attn.o_proj,0,16349,16384
llama8b,model.layers.12.self_attn.o_proj,1,34,16384
llama8b,model.layers.12.self_attn.o_proj,2,1,16384
llama8b,model.layers.12.self_attn.o_proj,3,0,16384
llama8b,model.layers.12.self_attn.o_proj,4,0,16384
llama8b,model.layers.12.self_attn.o_proj,5,0,16384
llama8b,model.layers.12.self_attn.q_proj,0,16345,16384
llama8b,model.layers.12.self_attn.q_proj,1,34,16384
llama8b,model.layers.12.self_attn.q_proj,2,4,16384
llama8b,model.layers.12.self_attn.q_proj,3,1,16384
llama8b,model.layers.12.self_attn.q_proj,4,0,16384
llama8b,model.layers.12.self_attn.q_proj,5,0,16384
llama8b,model.layers.12.self_attn.v_proj,0,4074,4096
llama8b,model.layers.12.self_attn.v_proj,1,21,4096
llama8b,model.layers.12.self_attn.v_proj,2,1,4096
llama8b,model.layers.12.self_attn.v_proj,3,0,4096
llama8b,model.layers.12.self_attn.v_proj,4,0,4096
llama8b,model.layers.12.self_attn.v_proj,5,0,4096
llama8b,model.layers.13.mlp.down_proj,0,57299,57344
llama8b,model.layers.13.mlp.down_proj,1,43,57344
llama8b,model.layers.13.mlp.down_proj,2,0,57344
llama8b,model.layers.13.mlp.down_proj,3,0,57344
llama8b,model.layers.13.mlp.down_proj,4,1,57344
llama8b,model.layers.13.mlp.down_proj,5,1,57344
llama8b,model.layers.13.mlp.gate_proj,0,57297,57344
llama8b,model.layers.13.mlp.gate_proj,1,42,57344
llama8b,model.layers.13.mlp.gate_proj,2,3,57344
llama8b,model.layers.13.mlp.gate_proj,3,2,57344
llama8b,model.layers.13.mlp.gate_proj,4,0,57344
llama8b,model.layers.13.mlp.gate_proj,5,0,57344
llama8b,model.layers.13.mlp.up_proj,0,57289,57344
llama8b,model.layers.13.mlp.up_proj,1,52,57344
llama8b,model.layers.13.mlp.up_proj,2,2,57344
llama8b,model.layers.13.mlp.up_proj,3,1,57344
llama8b,model.layers.13.mlp.up_proj,4,0,57344
llama8b,model.layers.13.mlp.up_proj,5,0,57344
