model,draw,corpus,contrast,role,status,delta_nll,ci_low,ci_high
llama8b,seed0,c4,ce_natural-minus-joint,secondary,validated_reuse,-0.0008269974712886707,-0.0026396314627885496,0.0006690483465664139
llama8b,seed0,c4,kl_natural-minus-joint,secondary,validated_reuse,0.022519244141458117,0.019853275784224623,0.024981606894161866
llama8b,seed0,c4,ce_natural-minus-kl_natural,secondary,validated_reuse,-0.023346241612746788,-0.025888484955233403,-0.02068997399161873
llama8b,draw1,c4,ce_matched-minus-joint,primary,validated_new,0.00027742743208536425,-0.0015146770500118144,0.002409673629312971
llama8b,draw1,c4,kl_matched-minus-joint,primary,validated_new,0.00023636845241448157,-0.001408807499035869,0.001919614110841805
llama8b,draw1,c4,ce_natural-minus-joint,secondary,validated_new,0.0008158348007309968,-0.0008855396164642593,0.003232938889735602
llama8b,draw1,c4,kl_natural-minus-joint,secondary,validated_new,0.012387174685470015,0.010188302938560712,0.014523168149628656
llama8b,draw1,c4,ce_natural-minus-kl_natural,secondary,validated_new,-0.011571339884739018,-0.013657783368723553,-0.009242376926975951
llama8b,draw2,c4,ce_matched-minus-joint,primary,validated_new,-0.0005685500292940127,-0.001835625243132377,0.0006617530491777597
llama8b,draw2,c4,kl_matched-minus-joint,primary,validated_new,-0.0009522798809356026,-0.002166680356848849,0.00021010105130296578
llama8b,draw2,c4,ce_natural-minus-joint,secondary,validated_new,-0.0016596057694364674,-0.003135967237792148,-0.00026083508018348627
llama8b,draw2,c4,kl_natural-minus-joint,secondary,validated_new,0.0155904577481083,0.013264344443825293,0.017704925920046462
llama8b,draw2,c4,ce_natural-minus-kl_natural,secondary,validated_new,-0.017250063517544767,-0.01899249462378999,-0.015463238886526853
llama8b,draw3,c4,ce_matched-minus-joint,primary,validated_new,0.0005945988686129056,-0.0005391793401351875,0.0017250533666449677
llama8b,draw3,c4,kl_matched-minus-joint,primary,validated_new,-0.0009275354579552086,-0.002221138822835411,0.00023467188458714514
llama8b,draw3,c4,ce_natural-minus-joint,secondary,validated_new,-0.0005346963222763179,-0.0017521980325531205,0.0006086911161292644
llama8b,draw3,c4,kl_natural-minus-joint,secondary,validated_new,0.01397895123421744,0.012357102019620958,0.01565800986408824
llama8b,draw3,c4,ce_natural-minus-kl_natural,secondary,validated_new,-0.014513647556493758,-0.016057431882051876,-0.012937923005792218
llama8b,draw4,c4,ce_matched-minus-joint,primary,validated_new,0.00013753134510929854,-0.00109961170240086,0.0014214685323972077
llama8b,draw4,c4,kl_matched-minus-joint,primary,validated_new,-0.0015302069231668547,-0.003225254797863508,6.515747399259596e-06
llama8b,draw4,c4,ce_natural-minus-joint,secondary,validated_new,-0.0007072197242918854,-0.0015959328790158046,0.0002657819197976461
llama8b,draw4,c4,kl_natural-minus-joint,secondary,validated_new,0.014096618163906616,0.01206922668191387,0.016065181870234778
llama8b,draw4,c4,ce_natural-minus-kl_natural,secondary,validated_new,-0.014803837888198501,-0.016720238087655437,-0.012707808140251124
qwen4b,seed0,wiki,ce_matched-minus-joint,primary,validated_reuse,-0.09379609946638423,-0.09820569087982442,-0.08965466986533466
qwen4b,seed0,wiki,kl_matched-minus-joint,primary,validated_reuse,0.023774505579306382,0.020884604291889198,0.026712860378676404
qwen4b,seed0,wiki,ce_natural-minus-joint,secondary,validated_reuse,-0.10406493606129885,-0.11047161111139328,-0.0966912726470002
qwen4b,seed0,wiki,kl_natural-minus-joint,secondary,validated_reuse,0.00823517909381044,0.004962888116132591,0.01140568699687452
qwen4b,seed0,wiki,ce_natural-minus-kl_natural,secondary,validated_reuse,-0.11230011515510929,-0.1191899626572164,-0.10473604588457355
qwen4b,draw1,wiki,ce_matched-minus-joint,primary,validated_new,-0.07389332913793867,-0.07733467347366726,-0.07049754233417882
qwen4b,draw1,wiki,kl_matched-minus-joint,primary,validated_new,0.015177369527952234,0.013185033620782816,0.0174662892261656
qwen4b,draw1,wiki,ce_natural-minus-joint,secondary,validated_new,-0.08912912689708818,-0.09449670831359641,-0.08349307850807218
qwen4b,draw1,wiki,kl_natural-minus-joint,secondary,validated_new,-0.0014617222618866776,-0.0037368585616564197,0.0009405562039664011
qwen4b,draw1,wiki,ce_natural-minus-kl_natural,secondary,validated_new,-0.0876674046352015,-0.09289248164713718,-0.08208291225193179
qwen4b,draw2,wiki,ce_matched-minus-joint,primary,validated_new,-0.09761203463283108,-0.10307979505284595,-0.09296007035449465
qwen4b,draw2,wiki,kl_matched-minus-joint,primary,validated_new,0.017370795350597934,0.014510452207219715,0.020310015229643274
qwen4b,draw2,wiki,ce_natural-minus-joint,secondary,validated_new,-0.10516576917984333,-0.11286862302549977,-0.09738586212957238
qwen4b,draw2,wiki,kl_natural-minus-joint,secondary,validated_new,0.0034766420605243376,0.0006570706536190518,0.006199870790675388
qwen4b,draw2,wiki,ce_natural-minus-kl_natural,secondary,validated_new,-0.10864241124036766,-0.116044528758789,-0.10090193566803415
qwen4b,draw3,wiki,ce_matched-minus-joint,primary,validated_new,-0.10431502757451439,-0.10964926457797064,-0.09892427383346057
qwen4b,draw3,wiki,kl_matched-minus-joint,primary,validated_new,0.021108541020443017,0.01830140219264509,0.023705724150093383
qwen4b,draw3,wiki,ce_natural-minus-joint,secondary,validated_new,-0.11912736078897845,-0.12696510254196056,-0.1107153820539025
qwen4b,draw3,wiki,kl_natural-minus-joint,secondary,validated_new,0.006284054715419707,0.0037245272231762327,0.009036862969210031
qwen4b,draw3,wiki,ce_natural-minus-kl_natural,secondary,validated_new,-0.12541141550439816,-0.13299628043265227,-0.11755042350659078
qwen4b,draw4,wiki,ce_matched-minus-joint,primary,validated_new,-0.09574145808739543,-0.10191664590857194,-0.09017941678316133
qwen4b,draw4,wiki,kl_matched-minus-joint,primary,validated_new,0.02682272752481296,0.02426418557444644,0.02938418510419427
qwen4b,draw4,wiki,ce_natural-minus-joint,secondary,validated_new,-0.1082921106953112,-0.11610836597198951,-0.09953953446622182
qwen4b,draw4,wiki,kl_natural-minus-joint,secondary,validated_new,0.017007953638162654,0.0147251908884384,0.019393975441947275
qwen4b,draw4,wiki,ce_natural-minus-kl_natural,secondary,validated_new,-0.12530006433347385,-0.13323382327416605,-0.11692931878772288
qwen4b,seed0,c4,ce_matched-minus-joint,primary,validated_reuse,-0.05679081524377594,-0.059910392637838386,-0.05366719893273282
qwen4b,seed0,c4,kl_matched-minus-joint,primary,validated_reuse,0.022272033646429712,0.020873360869601232,0.023730843941765955
qwen4b,seed0,c4,ce_natural-minus-joint,secondary,validated_reuse,-0.031659813372056256,-0.037934384004470134,-0.025518949348166522
qwen4b,seed0,c4,kl_natural-minus-joint,secondary,validated_reuse,0.016913649150684495,0.015405225882490204,0.01836615196368748
qwen4b,seed0,c4,ce_natural-minus-kl_natural,secondary,validated_reuse,-0.04857346252274075,-0.05536985870416781,-0.04182093831076853
qwen4b,draw1,c4,ce_matched-minus-joint,primary,validated_new,-0.045393468061262876,-0.048019979968098925,-0.042771239335938925
qwen4b,draw1,c4,kl_matched-minus-joint,primary,validated_new,0.01501279349143081,0.013679820468467174,0.016322461276145648
qwen4b,draw1,c4,ce_natural-minus-joint,secondary,validated_new,-0.027790192740043906,-0.03351663501903003,-0.02204567371851022
qwen4b,draw1,c4,kl_natural-minus-joint,secondary,validated_new,0.010369161298505958,0.009041054824876415,0.011702101275242814
qwen4b,draw1,c4,ce_natural-minus-kl_natural,secondary,validated_new,-0.038159354038549864,-0.04417612180610836,-0.03217358765445025
qwen4b,draw2,c4,ce_matched-minus-joint,primary,validated_new,-0.05364669417040169,-0.056612646211455196,-0.05084213010290333
qwen4b,draw2,c4,kl_matched-minus-joint,primary,validated_new,0.015862212419915256,0.014590537738070031,0.017148534468365527
qwen4b,draw2,c4,ce_natural-minus-joint,secondary,validated_new,-0.02571021656483463,-0.03226400114245217,-0.019137907391496903
qwen4b,draw2,c4,kl_natural-minus-joint,secondary,validated_new,0.012191183088682944,0.010734978351383873,0.013665090736480407
qwen4b,draw2,c4,ce_natural-minus-kl_natural,secondary,validated_new,-0.037901399653517576,-0.044708298818092906,-0.030909941743876013
qwen4b,draw3,c4,ce_matched-minus-joint,primary,validated_new,-0.05818621063117879,-0.06112859575491845,-0.05524623615924033
qwen4b,draw3,c4,kl_matched-minus-joint,primary,validated_new,0.023735112346755738,0.0221397703026755,0.025394847087974903
qwen4b,draw3,c4,ce_natural-minus-joint,secondary,validated_new,-0.03174829101582555,-0.038351789905752276,-0.02517428219685726
qwen4b,draw3,c4,kl_natural-minus-joint,secondary,validated_new,0.019987331706738054,0.018481347949093896,0.021585987756815427
qwen4b,draw3,c4,ce_natural-minus-kl_natural,secondary,validated_new,-0.0517356227225636,-0.05874539467067609,-0.044681441687879554
qwen4b,draw4,c4,ce_matched-minus-joint,primary,validated_new,-0.057955303260368574,-0.061077963250338395,-0.05490733201653576
qwen4b,draw4,c4,kl_matched-minus-joint,primary,validated_new,0.023457926063453538,0.021794921435482895,0.0251498724711543
qwen4b,draw4,c4,ce_natural-minus-joint,secondary,validated_new,-0.026548366078179342,-0.033448256547059706,-0.019801723112833482
qwen4b,draw4,c4,kl_natural-minus-joint,secondary,validated_new,0.021387268908202195,0.01980370659425923,0.02305638168200068
qwen4b,draw4,c4,ce_natural-minus-kl_natural,secondary,validated_new,-0.04793563498638154,-0.055292030769546086,-0.04070129628411772
mistral7b,seed0,wiki,ce_matched-minus-joint,primary,validated_reuse,5.872809566986881e-05,-0.000855606104569706,0.0009655879713562403
mistral7b,seed0,wiki,kl_matched-minus-joint,primary,validated_reuse,-0.0010149849053753268,-0.0018072815537735765,-0.00019145138960569073
mistral7b,seed0,wiki,ce_natural-minus-joint,secondary,validated_reuse,0.00042098232685816583,-0.0003101587188402144,0.0011116269578974713
mistral7b,seed0,wiki,kl_natural-minus-joint,secondary,validated_reuse,-0.0010946598699597132,-0.002157476155161353,1.7575466561902875e-05
mistral7b,seed0,wiki,ce_natural-minus-kl_natural,secondary,validated_reuse,0.001515642196817879,0.0005108180070070745,0.002489356433743211
mistral7b,draw1,wiki,ce_matched-minus-joint,primary,validated_new,0.0006827923075904963,-6.16028443755634e-05,0.001398419539468809
mistral7b,draw1,wiki,kl_matched-minus-joint,primary,validated_new,-0.001001634620643177,-0.0018676444721028307,-0.00016119855504625493
mistral7b,draw1,wiki,ce_natural-minus-joint,secondary,validated_new,0.00018709583457021672,-0.0006505502836927135,0.0010674681106818571
mistral7b,draw1,wiki,kl_natural-minus-joint,secondary,validated_new,-0.0016965563840818376,-0.00260138022112264,-0.0008266724096499036
mistral7b,draw1,wiki,ce_natural-minus-kl_natural,secondary,validated_new,0.0018836522186520543,0.0009659878059867344,0.0027760151778496722
mistral7b,draw2,wiki,ce_matched-minus-joint,primary,validated_new,2.4858230783353363e-05,-0.0006150282037984788,0.0007008729620570914
mistral7b,draw2,wiki,kl_matched-minus-joint,primary,validated_new,-0.0007499592255513221,-0.0014669614807574284,-3.116391251716888e-05
mistral7b,draw2,wiki,ce_natural-minus-joint,secondary,validated_new,0.0005040444471189343,-0.0002644815175128545,0.001259222010542787
mistral7b,draw2,wiki,kl_natural-minus-joint,secondary,validated_new,-0.0013523804946298235,-0.0021732686422348156,-0.0004280234614917786
mistral7b,draw2,wiki,ce_natural-minus-kl_natural,secondary,validated_new,0.0018564249417487577,0.0010038954429137826,0.002698218390023077
mistral7b,draw3,wiki,ce_matched-minus-joint,primary,validated_new,-0.0008753543948545328,-0.0016437349972755256,-0.0001390058466988649
