model,draw,N,objective,backend_status,exact_parent_SE,ownership_regret,selector_gap,threshold_increment,veto_increment,total_surrogate_gap,selected_weights,eligible_weights,weighted_cancellation,selected_weight_fraction,measured_nll_gap_vs_n8,gain_retention,retention_status
llama8b,seed0,8,ce,analytical_only,True,0.0,3.3689272417674294,3.333323924042983,0.03560331772444634,3.3689272417674294,1602560,6979321856,0.0,0.0002296154315655048,,,Not computed by surrogate analysis; actual evaluation required
qwen4b,seed0,256,kl,analytical_only,True,1.5528995736580964,0.40316581799354434,0.38837944391896917,0.014786374074575143,1.9560653916516408,6045696,3633315840,0.8104526348717985,0.0016639610389610389,,,Not computed by surrogate analysis; actual evaluation required
mistral7b,seed0,8,ce,analytical_only,True,0.0,1.4633290160567924,1.441811981912213,0.021517034144579346,1.4633290160567924,3840512,6979321856,0.0,0.0005502700805664062,,,Not computed by surrogate analysis; actual evaluation required
mistral7b,seed0,8,kl,analytical_only,True,0.0,0.5251555539636183,0.49845523802766556,0.0267003159359528,0.5251555539636183,3840512,6979321856,0.0,0.0005502700805664062,,,Not computed by surrogate analysis; actual evaluation required
mistral7b,seed0,16,ce,analytical_only,True,0.4181920069222009,1.0490477821299842,1.0331337193875638,0.015914062742420496,1.467239789052185,4279296,6979321856,0.2845196286730743,0.0006131392258864183,,,Not computed by surrogate analysis; actual evaluation required
mistral7b,seed0,16,kl,analytical_only,True,0.14766443908956536,0.38085761114713323,0.3601929813468985,0.020664629800234795,0.5285220502366986,4279296,6979321856,0.27864094244017085,0.0006131392258864183,,,Not computed by surrogate analysis; actual evaluation required
mistral7b,seed0,32,ce,analytical_only,False,0.7170230472845663,,,,,,6979321856,0.48783125403301614,,,,Not computed by surrogate analysis; actual evaluation required
mistral7b,seed0,32,kl,analytical_only,False,0.2537672162129328,,,,,,6979321856,0.4788555506116224,,,,Not computed by surrogate analysis; actual evaluation required
mistral7b,seed0,64,ce,analytical_only,False,0.9308137204506013,,,,,,6979321856,0.6332851171774713,,,,Not computed by surrogate analysis; actual evaluation required
mistral7b,seed0,64,kl,analytical_only,False,0.3299478630329815,,,,,,6979321856,0.6226074746125322,,,,Not computed by surrogate analysis; actual evaluation required
mistral7b,seed0,128,ce,analytical_only,False,1.0861683174907395,,,,,,6979321856,0.7389816190973139,,,,Not computed by surrogate analysis; actual evaluation required
mistral7b,seed0,128,kl,analytical_only,False,0.38544353748329335,,,,,,6979321856,0.7273271154788653,,,,Not computed by surrogate analysis; actual evaluation required
mistral7b,seed0,256,ce,analytical_only,False,1.1960299824122895,,,,,,6979321856,0.813726711283402,,,,Not computed by surrogate analysis; actual evaluation required
mistral7b,seed0,256,kl,analytical_only,False,0.42484540593284587,,,,,,6979321856,0.8016779465007317,,,,Not computed by surrogate analysis; actual evaluation required
