model,N,policy,draw,corpus,recipe,math_sequences,code_sequences,calibration_sequences,input_tokens,valid_shifted_target_tokens,available_replications_for_this_recipe,sampling,ppl,delta_nll,relative_ppl,selected_tiles,map_sha256,source,source_sha256,inference
mistral7b,16,n16_k3_math64,seed0,wiki,math64,64,0,64,32768,32704,1,nested prefixes of seed0,5.5033172890280655,-0.003626093864632418,-0.0036195275253933594,3403,f1587aca804dc923e5a3069b3d490a4ed47029d33189cefe993b1c94a3200849,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_mistral7b_attempt1/ppl/ppl_report.json,a795bf4a33391585103731b6b01573b47f06ec00373e8eba1e46603fb5bec217,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
mistral7b,16,n16_k3_math64,seed0,c4,math64,64,0,64,32768,32704,1,nested prefixes of seed0,8.052871554582781,-0.0018037438770575065,-0.0018021181087073085,3403,f1587aca804dc923e5a3069b3d490a4ed47029d33189cefe993b1c94a3200849,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_mistral7b_attempt1/ppl/ppl_report.json,a795bf4a33391585103731b6b01573b47f06ec00373e8eba1e46603fb5bec217,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
mistral7b,8,n8_k3_code64,seed0,wiki,code64,0,64,64,32768,32704,1,nested prefixes of seed0,5.50340061679606,-0.003610952608408935,-0.0036044409591490523,3545,b7b0198682e098890750d480ee8b42671fd32fb8761b720f434f0fd22ec36822,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_mistral7b_attempt1/ppl/ppl_report.json,a795bf4a33391585103731b6b01573b47f06ec00373e8eba1e46603fb5bec217,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
mistral7b,8,n8_k3_code64,seed0,c4,code64,0,64,64,32768,32704,1,nested prefixes of seed0,8.047809003935773,-0.0024326055944796643,-0.002429649207217798,3545,b7b0198682e098890750d480ee8b42671fd32fb8761b720f434f0fd22ec36822,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_mistral7b_attempt1/ppl/ppl_report.json,a795bf4a33391585103731b6b01573b47f06ec00373e8eba1e46603fb5bec217,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
mistral7b,16,n16_k3_code64,seed0,wiki,code64,0,64,64,32768,32704,1,nested prefixes of seed0,5.506043552300588,-0.003130831084614316,-0.0031259351437615177,2000,188c9e018ef659894350cacf2dbed61c498c228ee21d1c88b97d07d90e9d7439,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_mistral7b_attempt1/ppl/ppl_report.json,a795bf4a33391585103731b6b01573b47f06ec00373e8eba1e46603fb5bec217,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
mistral7b,16,n16_k3_code64,seed0,c4,code64,0,64,64,32768,32704,1,nested prefixes of seed0,8.045074242479178,-0.0027724777530040434,-0.0027686379859345575,2000,188c9e018ef659894350cacf2dbed61c498c228ee21d1c88b97d07d90e9d7439,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_mistral7b_attempt1/ppl/ppl_report.json,a795bf4a33391585103731b6b01573b47f06ec00373e8eba1e46603fb5bec217,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
mistral7b,8,n8_k3_heldout,heldout,wiki,heldout_mc128,64,64,128,65536,65408,1,separate heldout draw,5.513126571746396,-0.0018452496222007841,-0.0018435481957963823,4130,7d90a36f652e37f682671c2885fac2bb1251108012f86f9266e4b3a2e9adf6be,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_mistral7b_attempt1/ppl/ppl_report.json,a795bf4a33391585103731b6b01573b47f06ec00373e8eba1e46603fb5bec217,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
mistral7b,8,n8_k3_heldout,heldout,c4,heldout_mc128,64,64,128,65536,65408,1,separate heldout draw,8.050759922881426,-0.0020659992219358436,-0.002063866514520108,4130,7d90a36f652e37f682671c2885fac2bb1251108012f86f9266e4b3a2e9adf6be,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_mistral7b_attempt1/ppl/ppl_report.json,a795bf4a33391585103731b6b01573b47f06ec00373e8eba1e46603fb5bec217,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
mistral7b,16,n16_k3_heldout,heldout,wiki,heldout_mc128,64,64,128,65536,65408,1,separate heldout draw,5.514783080660946,-0.0015448284219514719,-0.0015436357887417837,2288,aac2fdaf81c0516aa3dd84a99687c48528af6127e6b049753066fafa8c31611a,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_mistral7b_attempt1/ppl/ppl_report.json,a795bf4a33391585103731b6b01573b47f06ec00373e8eba1e46603fb5bec217,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
mistral7b,16,n16_k3_heldout,heldout,c4,heldout_mc128,64,64,128,65536,65408,1,separate heldout draw,8.052696023847519,-0.0018255413994876513,-0.0018238761122914098,2288,aac2fdaf81c0516aa3dd84a99687c48528af6127e6b049753066fafa8c31611a,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_mistral7b_attempt1/ppl/ppl_report.json,a795bf4a33391585103731b6b01573b47f06ec00373e8eba1e46603fb5bec217,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
