model,draw,policy,task,metric,value,status,source,source_sha256,map_hash,num_fewshot,lm_eval_version,paired_ci,reason
llama8b,seed0,kl_matched,mmlu,,,coverage_gap,,,f0287d19a5600c21295d1936215a9be8205bda7e3b070840528af44141102e01,,,,No matching full8 map result; secondary evaluation not yet scheduled. PPL anchor success is not accuracy validation.
qwen4b,seed0,baseline,arc_easy,acc_norm,0.7487373737373737,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_qwen4b_four_over_six_attempt1/lmeval/lmeval_report.json,cef352d80ba9ef02a20824652872687019a955e0c9bb6df25ce8c5b55f6dac34,,0,0.4.11,not recomputed; no CI fabricated from aggregates,
qwen4b,seed0,baseline,arc_challenge,acc_norm,0.4906143344709898,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_qwen4b_four_over_six_attempt1/lmeval/lmeval_report.json,cef352d80ba9ef02a20824652872687019a955e0c9bb6df25ce8c5b55f6dac34,,0,0.4.11,not recomputed; no CI fabricated from aggregates,
qwen4b,seed0,baseline,hellaswag,acc_norm,0.6619199362676758,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_qwen4b_four_over_six_attempt1/lmeval/lmeval_report.json,cef352d80ba9ef02a20824652872687019a955e0c9bb6df25ce8c5b55f6dac34,,0,0.4.11,not recomputed; no CI fabricated from aggregates,
qwen4b,seed0,baseline,openbookqa,acc_norm,0.388,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_qwen4b_four_over_six_attempt1/lmeval/lmeval_report.json,cef352d80ba9ef02a20824652872687019a955e0c9bb6df25ce8c5b55f6dac34,,0,0.4.11,not recomputed; no CI fabricated from aggregates,
qwen4b,seed0,baseline,boolq,acc,0.8314984709480122,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_qwen4b_four_over_six_attempt1/lmeval/lmeval_report.json,cef352d80ba9ef02a20824652872687019a955e0c9bb6df25ce8c5b55f6dac34,,0,0.4.11,not recomputed; no CI fabricated from aggregates,
qwen4b,seed0,baseline,winogrande,acc,0.6290449881610103,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_qwen4b_four_over_six_attempt1/lmeval/lmeval_report.json,cef352d80ba9ef02a20824652872687019a955e0c9bb6df25ce8c5b55f6dac34,,0,0.4.11,not recomputed; no CI fabricated from aggregates,
qwen4b,seed0,baseline,piqa,acc_norm,0.7295973884657236,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_qwen4b_four_over_six_attempt1/lmeval/lmeval_report.json,cef352d80ba9ef02a20824652872687019a955e0c9bb6df25ce8c5b55f6dac34,,0,0.4.11,not recomputed; no CI fabricated from aggregates,
qwen4b,seed0,baseline,mmlu,acc,0.6615866685657313,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_qwen4b_four_over_six_attempt1/lmeval/lmeval_report.json,cef352d80ba9ef02a20824652872687019a955e0c9bb6df25ce8c5b55f6dac34,,0,0.4.11,not recomputed; no CI fabricated from aggregates,
qwen4b,seed0,joint,arc_easy,acc_norm,0.7487373737373737,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_qwen4b_n16_k3_attempt1/lmeval/lmeval_report.json,ff117a7a94df06a22746d597d865175ece03b8de0de5cbb2a4d429aa791620b7,188bf0e51c372cd831b158e457ede4b53121f0513261f39df8403971b20c01e8,0,0.4.11,not recomputed; no CI fabricated from aggregates,
