model,draw_a,draw_b,ranking,scope,U,K_a,K_b,intersection,jaccard,containment_a_to_b,containment_b_to_a,overlap_coefficient,empty_a,empty_b,expected_intersection_module,expected_intersection_global,null_intersection_mean,null_jaccard_lo,null_jaccard_median,null_jaccard_hi,null_containment_a_lo,null_containment_a_median,null_containment_a_hi,null_containment_b_lo,null_containment_b_median,null_containment_b_hi,allocation_share_L1,allocation_spearman
qwen4b,draw1,draw2,joint_upper_primary,global_fraction_0.02,3548160,70963,70963,55786,0.6476201532389134,0.7861279821879007,0.7861279821879007,0.7861279821879007,False,False,18125.999326685855,1419.2560000112735,18130.442,0.14492438248413267,0.14644135156748547,0.1479623458080365,0.2531597452193397,0.2554711610275778,0.25778257683581585,0.2531597452193397,0.2554711610275778,0.25778257683581585,0.07730789284556738,0.9352470727315302
qwen4b,draw1,draw3,joint_upper_primary,global_fraction_0.02,3548160,70963,70963,56151,0.6546313028271641,0.7912715076871045,0.7912715076871045,0.7912715076871045,False,False,18167.599568256577,1419.2560000112735,18167.459,0.14520176549854355,0.14682579766003706,0.1481942916316096,0.25358285303608924,0.25605597283091186,0.25813452080661753,0.25358285303608924,0.25605597283091186,0.25813452080661753,0.0614968363795217,0.949222703155124
qwen4b,draw1,draw4,joint_upper_primary,global_fraction_0.02,3548160,70963,70963,54100,0.6159907089016919,0.762369121936784,0.762369121936784,0.762369121936784,False,False,17696.17052837171,1419.2560000112735,17698.488,0.14108558544610147,0.14246385677947002,0.14395748074316186,0.24728309118836575,0.24939757338331242,0.2516832715640545,0.24728309118836575,0.24939757338331242,0.2516832715640545,0.17891013626819613,0.8922699697293796
qwen4b,draw2,draw3,joint_upper_primary,global_fraction_0.02,3548160,70963,70963,55908,0.6499569857471692,0.7878471879711962,0.7878471879711962,0.7878471879711962,False,False,18105.728186677632,1419.2560000112735,18106.113,0.1446658282878265,0.1462191389182772,0.14786021721014947,0.2527651734002227,0.25513295661119173,0.2576275664783056,0.2527651734002227,0.25513295661119173,0.2576275664783056,0.048419598945929565,0.9647160178636599
qwen4b,draw2,draw4,joint_upper_primary,global_fraction_0.02,3548160,70963,70963,53505,0.6051164316169236,0.7539844707805476,0.7539844707805476,0.7539844707805476,False,False,17580.186646792765,1419.2560000112735,17578.318,0.13980285183790153,0.14138428815111753,0.14287807970637142,0.24531058438904782,0.2477417809280893,0.2500320589603032,0.24531058438904782,0.2477417809280893,0.2500320589603032,0.22059383058777107,0.8013017244193554
qwen4b,draw3,draw4,joint_upper_primary,global_fraction_0.02,3548160,70963,70963,53988,0.6139325433828379,0.7607908346603159,0.7607908346603159,0.7607908346603159,False,False,17653.599265008223,1419.2560000112735,17654.327,0.14053562004237374,0.14203637916304154,0.14360536324373108,0.24643793244366782,0.24874230232656455,0.25114496286797344,0.24643793244366782,0.24874230232656455,0.25114496286797344,0.19613037780251683,0.8464779133268633
qwen4b,seed0,draw1,joint_upper_primary,global_fraction_0.05,3548160,177408,177408,109947,0.44900334464550434,0.6197409361471862,0.6197409361471862,0.6197409361471862,False,False,42818.59209498355,8870.4,42819.217,0.13633836119595086,0.1372271242720376,0.1382595807749312,0.2399608529491342,0.2413363546176046,0.24293154761904762,0.2399608529491342,0.2413363546176046,0.24293154761904762,0.07513753607503608,0.9899342026280563
qwen4b,seed0,draw2,joint_upper_primary,global_fraction_0.05,3548160,177408,177408,109748,0.44782672564349485,0.618619227994228,0.618619227994228,0.618619227994228,False,False,42381.391519325654,8870.4,42382.27,0.13469942574450203,0.13565104950165474,0.1365606720023722,0.2374186902507215,0.23889565295815296,0.24030511589105338,0.2374186902507215,0.23889565295815296,0.24030511589105338,0.06330041486291485,0.9924178385249582
qwen4b,seed0,draw3,joint_upper_primary,global_fraction_0.05,3548160,177408,177408,109159,0.4443553409835665,0.6152991973304474,0.6152991973304474,0.6152991973304474,False,False,42335.92571443257,8870.4,42333.293,0.1344597966386932,0.13546933603000474,0.13643690249184867,0.23704638460497834,0.23861381673881674,0.24011346726190477,0.23704638460497834,0.23861381673881674,0.24011346726190477,0.063379329004329,0.9907821686740608
qwen4b,seed0,draw4,joint_upper_primary,global_fraction_0.05,3548160,177408,177408,102922,0.4085925031957887,0.5801429473304474,0.5801429473304474,0.5801429473304474,False,False,40070.82216796875,8870.4,40066.332,0.12633563796354494,0.1272946783161239,0.12827714872223392,0.22433035714285715,0.22584099927849927,0.22738588451479078,0.22433035714285715,0.22584099927849927,0.22738588451479078,0.3342577561327561,0.9225191347765689
qwen4b,draw1,draw2,joint_upper_primary,global_fraction_0.05,3548160,177408,177408,108700,0.44166165547952996,0.6127119408369408,0.6127119408369408,0.6127119408369408,False,False,42010.583233963815,8870.4,42006.945,0.13333284889093108,0.1342950536700896,0.13517145178938209,0.23529336332070705,0.23679033639971142,0.23815160533910534,0.23529336332070705,0.23679033639971142,0.23815160533910534,0.10105519480519479,0.9877180273707061
qwen4b,draw1,draw3,joint_upper_primary,global_fraction_0.05,3548160,177408,177408,108333,0.43951509840435243,0.610643262987013,0.610643262987013,0.610643262987013,False,False,42062.37487150494,8870.4,42061.049,0.13354665178369649,0.13446913683167683,0.13548050973286502,0.23562621189574312,0.23706089917027418,0.23863114966630591,0.23562621189574312,0.23706089917027418,0.23863114966630591,0.08122519841269842,0.9897184096991252
qwen4b,draw1,draw4,joint_upper_primary,global_fraction_0.05,3548160,177408,177408,103221,0.4102664997317117,0.581828327922078,0.581828327922078,0.581828327922078,False,False,40062.244248560855,8870.4,40058.066,0.12637461187825452,0.12725528257948093,0.12818432201531496,0.22439179743867244,0.2257789953102453,0.22724003427128425,0.22439179743867244,0.2257789953102453,0.22724003427128425,0.30351506132756134,0.9416727256077277
