model,draw,module,U,K,density,density_ratio_vs_seed0
llama8b,draw1,model.layers.0.self_attn.q_proj,16384,4,0.000244140625,2.0
llama8b,draw2,model.layers.0.self_attn.q_proj,16384,2,0.0001220703125,1.0
llama8b,draw3,model.layers.0.self_attn.q_proj,16384,4,0.000244140625,2.0
llama8b,draw4,model.layers.0.self_attn.q_proj,16384,4,0.000244140625,2.0
llama8b,seed0,model.layers.0.self_attn.v_proj,4096,8,0.001953125,1.0
llama8b,draw1,model.layers.0.self_attn.v_proj,4096,5,0.001220703125,0.625
llama8b,draw2,model.layers.0.self_attn.v_proj,4096,1,0.000244140625,0.125
llama8b,draw3,model.layers.0.self_attn.v_proj,4096,5,0.001220703125,0.625
llama8b,draw4,model.layers.0.self_attn.v_proj,4096,5,0.001220703125,0.625
llama8b,seed0,model.layers.1.mlp.down_proj,57344,33,0.0005754743303571429,1.0
llama8b,draw1,model.layers.1.mlp.down_proj,57344,40,0.0006975446428571429,1.2121212121212122
llama8b,draw2,model.layers.1.mlp.down_proj,57344,39,0.0006801060267857143,1.1818181818181819
llama8b,draw3,model.layers.1.mlp.down_proj,57344,42,0.000732421875,1.2727272727272727
llama8b,draw4,model.layers.1.mlp.down_proj,57344,36,0.0006277901785714286,1.0909090909090908
llama8b,seed0,model.layers.1.mlp.gate_proj,57344,20,0.00034877232142857144,1.0
llama8b,draw1,model.layers.1.mlp.gate_proj,57344,20,0.00034877232142857144,1.0
llama8b,draw2,model.layers.1.mlp.gate_proj,57344,10,0.00017438616071428572,0.5
llama8b,draw3,model.layers.1.mlp.gate_proj,57344,16,0.00027901785714285713,0.8
llama8b,draw4,model.layers.1.mlp.gate_proj,57344,18,0.0003138950892857143,0.9
llama8b,seed0,model.layers.1.mlp.up_proj,57344,22,0.00038364955357142856,1.0
llama8b,draw1,model.layers.1.mlp.up_proj,57344,18,0.0003138950892857143,0.8181818181818182
llama8b,draw2,model.layers.1.mlp.up_proj,57344,15,0.00026157924107142856,0.6818181818181818
llama8b,draw3,model.layers.1.mlp.up_proj,57344,13,0.00022670200892857144,0.5909090909090909
llama8b,draw4,model.layers.1.mlp.up_proj,57344,19,0.00033133370535714287,0.8636363636363636
llama8b,seed0,model.layers.1.self_attn.k_proj,4096,7,0.001708984375,1.0
llama8b,draw1,model.layers.1.self_attn.k_proj,4096,6,0.00146484375,0.8571428571428571
llama8b,draw2,model.layers.1.self_attn.k_proj,4096,1,0.000244140625,0.14285714285714285
llama8b,draw3,model.layers.1.self_attn.k_proj,4096,0,0.0,0.0
llama8b,draw4,model.layers.1.self_attn.k_proj,4096,1,0.000244140625,0.14285714285714285
llama8b,seed0,model.layers.1.self_attn.o_proj,16384,15,0.00091552734375,1.0
llama8b,draw1,model.layers.1.self_attn.o_proj,16384,12,0.000732421875,0.8
llama8b,draw2,model.layers.1.self_attn.o_proj,16384,7,0.00042724609375,0.4666666666666667
llama8b,draw3,model.layers.1.self_attn.o_proj,16384,14,0.0008544921875,0.9333333333333333
llama8b,draw4,model.layers.1.self_attn.o_proj,16384,7,0.00042724609375,0.4666666666666667
llama8b,seed0,model.layers.1.self_attn.q_proj,16384,9,0.00054931640625,1.0
llama8b,draw1,model.layers.1.self_attn.q_proj,16384,11,0.00067138671875,1.2222222222222223
llama8b,draw2,model.layers.1.self_attn.q_proj,16384,5,0.00030517578125,0.5555555555555556
llama8b,draw3,model.layers.1.self_attn.q_proj,16384,7,0.00042724609375,0.7777777777777778
llama8b,draw4,model.layers.1.self_attn.q_proj,16384,8,0.00048828125,0.8888888888888888
llama8b,seed0,model.layers.1.self_attn.v_proj,4096,3,0.000732421875,1.0
llama8b,draw1,model.layers.1.self_attn.v_proj,4096,3,0.000732421875,1.0
llama8b,draw2,model.layers.1.self_attn.v_proj,4096,5,0.001220703125,1.6666666666666667
llama8b,draw3,model.layers.1.self_attn.v_proj,4096,3,0.000732421875,1.0
llama8b,draw4,model.layers.1.self_attn.v_proj,4096,6,0.00146484375,2.0
llama8b,seed0,model.layers.10.mlp.down_proj,57344,9,0.00015694754464285715,1.0
llama8b,draw1,model.layers.10.mlp.down_proj,57344,18,0.0003138950892857143,2.0
llama8b,draw2,model.layers.10.mlp.down_proj,57344,7,0.0001220703125,0.7777777777777778
llama8b,draw3,model.layers.10.mlp.down_proj,57344,7,0.0001220703125,0.7777777777777778
llama8b,draw4,model.layers.10.mlp.down_proj,57344,10,0.00017438616071428572,1.1111111111111112
llama8b,seed0,model.layers.10.mlp.gate_proj,57344,5,8.719308035714286e-05,1.0
llama8b,draw1,model.layers.10.mlp.gate_proj,57344,5,8.719308035714286e-05,1.0
llama8b,draw2,model.layers.10.mlp.gate_proj,57344,5,8.719308035714286e-05,1.0
llama8b,draw3,model.layers.10.mlp.gate_proj,57344,1,1.743861607142857e-05,0.2
llama8b,draw4,model.layers.10.mlp.gate_proj,57344,7,0.0001220703125,1.4
llama8b,seed0,model.layers.10.mlp.up_proj,57344,12,0.00020926339285714285,1.0
llama8b,draw1,model.layers.10.mlp.up_proj,57344,11,0.00019182477678571428,0.9166666666666666
llama8b,draw2,model.layers.10.mlp.up_proj,57344,3,5.231584821428571e-05,0.25
llama8b,draw3,model.layers.10.mlp.up_proj,57344,8,0.00013950892857142856,0.6666666666666666
llama8b,draw4,model.layers.10.mlp.up_proj,57344,8,0.00013950892857142856,0.6666666666666666
llama8b,seed0,model.layers.10.self_attn.k_proj,4096,1,0.000244140625,1.0
llama8b,draw1,model.layers.10.self_attn.k_proj,4096,0,0.0,0.0
llama8b,draw2,model.layers.10.self_attn.k_proj,4096,0,0.0,0.0
llama8b,draw3,model.layers.10.self_attn.k_proj,4096,0,0.0,0.0
llama8b,draw4,model.layers.10.self_attn.k_proj,4096,0,0.0,0.0
llama8b,seed0,model.layers.10.self_attn.o_proj,16384,7,0.00042724609375,1.0
llama8b,draw1,model.layers.10.self_attn.o_proj,16384,12,0.000732421875,1.7142857142857142
llama8b,draw2,model.layers.10.self_attn.o_proj,16384,9,0.00054931640625,1.2857142857142858
llama8b,draw3,model.layers.10.self_attn.o_proj,16384,5,0.00030517578125,0.7142857142857143
llama8b,draw4,model.layers.10.self_attn.o_proj,16384,18,0.0010986328125,2.5714285714285716
llama8b,seed0,model.layers.10.self_attn.q_proj,16384,2,0.0001220703125,1.0
llama8b,draw1,model.layers.10.self_attn.q_proj,16384,1,6.103515625e-05,0.5
llama8b,draw2,model.layers.10.self_attn.q_proj,16384,6,0.0003662109375,3.0
llama8b,draw3,model.layers.10.self_attn.q_proj,16384,1,6.103515625e-05,0.5
llama8b,draw4,model.layers.10.self_attn.q_proj,16384,1,6.103515625e-05,0.5
llama8b,seed0,model.layers.10.self_attn.v_proj,4096,2,0.00048828125,1.0
llama8b,draw1,model.layers.10.self_attn.v_proj,4096,1,0.000244140625,0.5
llama8b,draw2,model.layers.10.self_attn.v_proj,4096,1,0.000244140625,0.5
llama8b,draw3,model.layers.10.self_attn.v_proj,4096,0,0.0,0.0
llama8b,draw4,model.layers.10.self_attn.v_proj,4096,4,0.0009765625,2.0
llama8b,seed0,model.layers.11.mlp.down_proj,57344,10,0.00017438616071428572,1.0
llama8b,draw1,model.layers.11.mlp.down_proj,57344,13,0.00022670200892857144,1.3
llama8b,draw2,model.layers.11.mlp.down_proj,57344,18,0.0003138950892857143,1.8
llama8b,draw3,model.layers.11.mlp.down_proj,57344,3,5.231584821428571e-05,0.3
llama8b,draw4,model.layers.11.mlp.down_proj,57344,13,0.00022670200892857144,1.3
llama8b,seed0,model.layers.11.mlp.gate_proj,57344,4,6.975446428571428e-05,1.0
llama8b,draw1,model.layers.11.mlp.gate_proj,57344,10,0.00017438616071428572,2.5
llama8b,draw2,model.layers.11.mlp.gate_proj,57344,7,0.0001220703125,1.75
llama8b,draw3,model.layers.11.mlp.gate_proj,57344,3,5.231584821428571e-05,0.75
llama8b,draw4,model.layers.11.mlp.gate_proj,57344,7,0.0001220703125,1.75
llama8b,seed0,model.layers.11.mlp.up_proj,57344,20,0.00034877232142857144,1.0
llama8b,draw1,model.layers.11.mlp.up_proj,57344,41,0.0007149832589285714,2.05
llama8b,draw2,model.layers.11.mlp.up_proj,57344,16,0.00027901785714285713,0.8
llama8b,draw3,model.layers.11.mlp.up_proj,57344,11,0.00019182477678571428,0.55
llama8b,draw4,model.layers.11.mlp.up_proj,57344,11,0.00019182477678571428,0.55
llama8b,seed0,model.layers.11.self_attn.k_proj,4096,1,0.000244140625,1.0
llama8b,draw1,model.layers.11.self_attn.k_proj,4096,0,0.0,0.0
llama8b,draw2,model.layers.11.self_attn.k_proj,4096,0,0.0,0.0
llama8b,draw3,model.layers.11.self_attn.k_proj,4096,1,0.000244140625,1.0
llama8b,draw4,model.layers.11.self_attn.k_proj,4096,2,0.00048828125,2.0
llama8b,seed0,model.layers.11.self_attn.o_proj,16384,12,0.000732421875,1.0
llama8b,draw1,model.layers.11.self_attn.o_proj,16384,13,0.00079345703125,1.0833333333333333
llama8b,draw2,model.layers.11.self_attn.o_proj,16384,10,0.0006103515625,0.8333333333333334
llama8b,draw3,model.layers.11.self_attn.o_proj,16384,6,0.0003662109375,0.5
llama8b,draw4,model.layers.11.self_attn.o_proj,16384,19,0.00115966796875,1.5833333333333333
llama8b,seed0,model.layers.11.self_attn.q_proj,16384,2,0.0001220703125,1.0
llama8b,draw1,model.layers.11.self_attn.q_proj,16384,4,0.000244140625,2.0
llama8b,draw2,model.layers.11.self_attn.q_proj,16384,5,0.00030517578125,2.5
llama8b,draw3,model.layers.11.self_attn.q_proj,16384,3,0.00018310546875,1.5
llama8b,draw4,model.layers.11.self_attn.q_proj,16384,11,0.00067138671875,5.5
llama8b,seed0,model.layers.11.self_attn.v_proj,4096,0,0.0,
llama8b,draw1,model.layers.11.self_attn.v_proj,4096,4,0.0009765625,
llama8b,draw2,model.layers.11.self_attn.v_proj,4096,1,0.000244140625,
llama8b,draw3,model.layers.11.self_attn.v_proj,4096,2,0.00048828125,
llama8b,draw4,model.layers.11.self_attn.v_proj,4096,3,0.000732421875,
llama8b,seed0,model.layers.12.mlp.down_proj,57344,5,8.719308035714286e-05,1.0
llama8b,draw1,model.layers.12.mlp.down_proj,57344,17,0.0002964564732142857,3.4
llama8b,draw2,model.layers.12.mlp.down_proj,57344,25,0.0004359654017857143,5.0
llama8b,draw3,model.layers.12.mlp.down_proj,57344,4,6.975446428571428e-05,0.8
llama8b,draw4,model.layers.12.mlp.down_proj,57344,15,0.00026157924107142856,3.0
llama8b,seed0,model.layers.12.mlp.gate_proj,57344,5,8.719308035714286e-05,1.0
llama8b,draw1,model.layers.12.mlp.gate_proj,57344,11,0.00019182477678571428,2.2
llama8b,draw2,model.layers.12.mlp.gate_proj,57344,12,0.00020926339285714285,2.4
llama8b,draw3,model.layers.12.mlp.gate_proj,57344,5,8.719308035714286e-05,1.0
llama8b,draw4,model.layers.12.mlp.gate_proj,57344,7,0.0001220703125,1.4
llama8b,seed0,model.layers.12.mlp.up_proj,57344,19,0.00033133370535714287,1.0
llama8b,draw1,model.layers.12.mlp.up_proj,57344,31,0.0005405970982142857,1.631578947368421
llama8b,draw2,model.layers.12.mlp.up_proj,57344,33,0.0005754743303571429,1.736842105263158
llama8b,draw3,model.layers.12.mlp.up_proj,57344,17,0.0002964564732142857,0.8947368421052632
llama8b,draw4,model.layers.12.mlp.up_proj,57344,18,0.0003138950892857143,0.9473684210526315
llama8b,seed0,model.layers.12.self_attn.k_proj,4096,12,0.0029296875,1.0
llama8b,draw1,model.layers.12.self_attn.k_proj,4096,10,0.00244140625,0.8333333333333334
llama8b,draw2,model.layers.12.self_attn.k_proj,4096,12,0.0029296875,1.0
llama8b,draw3,model.layers.12.self_attn.k_proj,4096,0,0.0,0.0
llama8b,draw4,model.layers.12.self_attn.k_proj,4096,6,0.00146484375,0.5
llama8b,seed0,model.layers.12.self_attn.o_proj,16384,8,0.00048828125,1.0
llama8b,draw1,model.layers.12.self_attn.o_proj,16384,16,0.0009765625,2.0
llama8b,draw2,model.layers.12.self_attn.o_proj,16384,7,0.00042724609375,0.875
llama8b,draw3,model.layers.12.self_attn.o_proj,16384,2,0.0001220703125,0.25
llama8b,draw4,model.layers.12.self_attn.o_proj,16384,3,0.00018310546875,0.375
llama8b,seed0,model.layers.12.self_attn.q_proj,16384,6,0.0003662109375,1.0
llama8b,draw1,model.layers.12.self_attn.q_proj,16384,10,0.0006103515625,1.6666666666666667
llama8b,draw2,model.layers.12.self_attn.q_proj,16384,19,0.00115966796875,3.1666666666666665
llama8b,draw3,model.layers.12.self_attn.q_proj,16384,2,0.0001220703125,0.3333333333333333
llama8b,draw4,model.layers.12.self_attn.q_proj,16384,8,0.00048828125,1.3333333333333333
llama8b,seed0,model.layers.12.self_attn.v_proj,4096,7,0.001708984375,1.0
llama8b,draw1,model.layers.12.self_attn.v_proj,4096,4,0.0009765625,0.5714285714285714
llama8b,draw2,model.layers.12.self_attn.v_proj,4096,4,0.0009765625,0.5714285714285714
llama8b,draw3,model.layers.12.self_attn.v_proj,4096,2,0.00048828125,0.2857142857142857
llama8b,draw4,model.layers.12.self_attn.v_proj,4096,6,0.00146484375,0.8571428571428571
llama8b,seed0,model.layers.13.mlp.down_proj,57344,9,0.00015694754464285715,1.0
llama8b,draw1,model.layers.13.mlp.down_proj,57344,17,0.0002964564732142857,1.8888888888888888
llama8b,draw2,model.layers.13.mlp.down_proj,57344,8,0.00013950892857142856,0.8888888888888888
llama8b,draw3,model.layers.13.mlp.down_proj,57344,5,8.719308035714286e-05,0.5555555555555556
llama8b,draw4,model.layers.13.mlp.down_proj,57344,13,0.00022670200892857144,1.4444444444444444
llama8b,seed0,model.layers.13.mlp.gate_proj,57344,9,0.00015694754464285715,1.0
llama8b,draw1,model.layers.13.mlp.gate_proj,57344,20,0.00034877232142857144,2.2222222222222223
llama8b,draw2,model.layers.13.mlp.gate_proj,57344,17,0.0002964564732142857,1.8888888888888888
llama8b,draw3,model.layers.13.mlp.gate_proj,57344,3,5.231584821428571e-05,0.3333333333333333
llama8b,draw4,model.layers.13.mlp.gate_proj,57344,5,8.719308035714286e-05,0.5555555555555556
llama8b,seed0,model.layers.13.mlp.up_proj,57344,10,0.00017438616071428572,1.0
llama8b,draw1,model.layers.13.mlp.up_proj,57344,17,0.0002964564732142857,1.7
llama8b,draw2,model.layers.13.mlp.up_proj,57344,19,0.00033133370535714287,1.9
llama8b,draw3,model.layers.13.mlp.up_proj,57344,0,0.0,0.0
llama8b,draw4,model.layers.13.mlp.up_proj,57344,13,0.00022670200892857144,1.3
llama8b,seed0,model.layers.13.self_attn.k_proj,4096,0,0.0,
llama8b,draw1,model.layers.13.self_attn.k_proj,4096,1,0.000244140625,
llama8b,draw2,model.layers.13.self_attn.k_proj,4096,0,0.0,
llama8b,draw3,model.layers.13.self_attn.k_proj,4096,0,0.0,
llama8b,draw4,model.layers.13.self_attn.k_proj,4096,0,0.0,
llama8b,seed0,model.layers.13.self_attn.o_proj,16384,6,0.0003662109375,1.0
llama8b,draw1,model.layers.13.self_attn.o_proj,16384,8,0.00048828125,1.3333333333333333
llama8b,draw2,model.layers.13.self_attn.o_proj,16384,9,0.00054931640625,1.5
llama8b,draw3,model.layers.13.self_attn.o_proj,16384,6,0.0003662109375,1.0
llama8b,draw4,model.layers.13.self_attn.o_proj,16384,3,0.00018310546875,0.5
llama8b,seed0,model.layers.13.self_attn.q_proj,16384,0,0.0,
llama8b,draw1,model.layers.13.self_attn.q_proj,16384,0,0.0,
llama8b,draw2,model.layers.13.self_attn.q_proj,16384,2,0.0001220703125,
llama8b,draw3,model.layers.13.self_attn.q_proj,16384,0,0.0,
llama8b,draw4,model.layers.13.self_attn.q_proj,16384,1,6.103515625e-05,
llama8b,seed0,model.layers.13.self_attn.v_proj,4096,4,0.0009765625,1.0
llama8b,draw1,model.layers.13.self_attn.v_proj,4096,3,0.000732421875,0.75
llama8b,draw2,model.layers.13.self_attn.v_proj,4096,3,0.000732421875,0.75
llama8b,draw3,model.layers.13.self_attn.v_proj,4096,2,0.00048828125,0.5
llama8b,draw4,model.layers.13.self_attn.v_proj,4096,6,0.00146484375,1.5
llama8b,seed0,model.layers.14.mlp.down_proj,57344,11,0.00019182477678571428,1.0
llama8b,draw1,model.layers.14.mlp.down_proj,57344,8,0.00013950892857142856,0.7272727272727273
llama8b,draw2,model.layers.14.mlp.down_proj,57344,13,0.00022670200892857144,1.1818181818181819
llama8b,draw3,model.layers.14.mlp.down_proj,57344,8,0.00013950892857142856,0.7272727272727273
llama8b,draw4,model.layers.14.mlp.down_proj,57344,10,0.00017438616071428572,0.9090909090909091
llama8b,seed0,model.layers.14.mlp.gate_proj,57344,8,0.00013950892857142856,1.0
llama8b,draw1,model.layers.14.mlp.gate_proj,57344,10,0.00017438616071428572,1.25
llama8b,draw2,model.layers.14.mlp.gate_proj,57344,11,0.00019182477678571428,1.375
llama8b,draw3,model.layers.14.mlp.gate_proj,57344,1,1.743861607142857e-05,0.125
llama8b,draw4,model.layers.14.mlp.gate_proj,57344,5,8.719308035714286e-05,0.625
llama8b,seed0,model.layers.14.mlp.up_proj,57344,8,0.00013950892857142856,1.0
llama8b,draw1,model.layers.14.mlp.up_proj,57344,13,0.00022670200892857144,1.625
llama8b,draw2,model.layers.14.mlp.up_proj,57344,9,0.00015694754464285715,1.125
llama8b,draw3,model.layers.14.mlp.up_proj,57344,10,0.00017438616071428572,1.25
llama8b,draw4,model.layers.14.mlp.up_proj,57344,11,0.00019182477678571428,1.375
llama8b,seed0,model.layers.14.self_attn.k_proj,4096,0,0.0,
llama8b,draw1,model.layers.14.self_attn.k_proj,4096,4,0.0009765625,
llama8b,draw2,model.layers.14.self_attn.k_proj,4096,1,0.000244140625,
llama8b,draw3,model.layers.14.self_attn.k_proj,4096,0,0.0,
llama8b,draw4,model.layers.14.self_attn.k_proj,4096,1,0.000244140625,
llama8b,seed0,model.layers.14.self_attn.o_proj,16384,6,0.0003662109375,1.0
llama8b,draw1,model.layers.14.self_attn.o_proj,16384,5,0.00030517578125,0.8333333333333334
llama8b,draw2,model.layers.14.self_attn.o_proj,16384,8,0.00048828125,1.3333333333333333
llama8b,draw3,model.layers.14.self_attn.o_proj,16384,0,0.0,0.0
llama8b,draw4,model.layers.14.self_attn.o_proj,16384,7,0.00042724609375,1.1666666666666667
llama8b,seed0,model.layers.14.self_attn.q_proj,16384,4,0.000244140625,1.0
llama8b,draw1,model.layers.14.self_attn.q_proj,16384,9,0.00054931640625,2.25
llama8b,draw2,model.layers.14.self_attn.q_proj,16384,3,0.00018310546875,0.75
llama8b,draw3,model.layers.14.self_attn.q_proj,16384,2,0.0001220703125,0.5
llama8b,draw4,model.layers.14.self_attn.q_proj,16384,12,0.000732421875,3.0
llama8b,seed0,model.layers.14.self_attn.v_proj,4096,2,0.00048828125,1.0
llama8b,draw1,model.layers.14.self_attn.v_proj,4096,4,0.0009765625,2.0
llama8b,draw2,model.layers.14.self_attn.v_proj,4096,5,0.001220703125,2.5
llama8b,draw3,model.layers.14.self_attn.v_proj,4096,0,0.0,0.0
llama8b,draw4,model.layers.14.self_attn.v_proj,4096,5,0.001220703125,2.5
llama8b,seed0,model.layers.15.mlp.down_proj,57344,3,5.231584821428571e-05,1.0
llama8b,draw1,model.layers.15.mlp.down_proj,57344,16,0.00027901785714285713,5.333333333333333
llama8b,draw2,model.layers.15.mlp.down_proj,57344,16,0.00027901785714285713,5.333333333333333
llama8b,draw3,model.layers.15.mlp.down_proj,57344,5,8.719308035714286e-05,1.6666666666666667
llama8b,draw4,model.layers.15.mlp.down_proj,57344,4,6.975446428571428e-05,1.3333333333333333
llama8b,seed0,model.layers.15.mlp.gate_proj,57344,10,0.00017438616071428572,1.0
llama8b,draw1,model.layers.15.mlp.gate_proj,57344,8,0.00013950892857142856,0.8
llama8b,draw2,model.layers.15.mlp.gate_proj,57344,9,0.00015694754464285715,0.9
llama8b,draw3,model.layers.15.mlp.gate_proj,57344,4,6.975446428571428e-05,0.4
llama8b,draw4,model.layers.15.mlp.gate_proj,57344,5,8.719308035714286e-05,0.5
llama8b,seed0,model.layers.15.mlp.up_proj,57344,4,6.975446428571428e-05,1.0
llama8b,draw1,model.layers.15.mlp.up_proj,57344,5,8.719308035714286e-05,1.25
llama8b,draw2,model.layers.15.mlp.up_proj,57344,12,0.00020926339285714285,3.0
llama8b,draw3,model.layers.15.mlp.up_proj,57344,3,5.231584821428571e-05,0.75
llama8b,draw4,model.layers.15.mlp.up_proj,57344,10,0.00017438616071428572,2.5
llama8b,seed0,model.layers.15.self_attn.k_proj,4096,0,0.0,
llama8b,draw1,model.layers.15.self_attn.k_proj,4096,0,0.0,
llama8b,draw2,model.layers.15.self_attn.k_proj,4096,1,0.000244140625,
llama8b,draw3,model.layers.15.self_attn.k_proj,4096,0,0.0,
llama8b,draw4,model.layers.15.self_attn.k_proj,4096,1,0.000244140625,
llama8b,seed0,model.layers.15.self_attn.o_proj,16384,3,0.00018310546875,1.0
llama8b,draw1,model.layers.15.self_attn.o_proj,16384,9,0.00054931640625,3.0
llama8b,draw2,model.layers.15.self_attn.o_proj,16384,5,0.00030517578125,1.6666666666666667
llama8b,draw3,model.layers.15.self_attn.o_proj,16384,3,0.00018310546875,1.0
llama8b,draw4,model.layers.15.self_attn.o_proj,16384,10,0.0006103515625,3.3333333333333335
llama8b,seed0,model.layers.15.self_attn.q_proj,16384,1,6.103515625e-05,1.0
llama8b,draw1,model.layers.15.self_attn.q_proj,16384,5,0.00030517578125,5.0
llama8b,draw2,model.layers.15.self_attn.q_proj,16384,2,0.0001220703125,2.0
llama8b,draw3,model.layers.15.self_attn.q_proj,16384,0,0.0,0.0
llama8b,draw4,model.layers.15.self_attn.q_proj,16384,0,0.0,0.0
llama8b,seed0,model.layers.15.self_attn.v_proj,4096,5,0.001220703125,1.0
llama8b,draw1,model.layers.15.self_attn.v_proj,4096,7,0.001708984375,1.4
llama8b,draw2,model.layers.15.self_attn.v_proj,4096,7,0.001708984375,1.4
llama8b,draw3,model.layers.15.self_attn.v_proj,4096,3,0.000732421875,0.6
llama8b,draw4,model.layers.15.self_attn.v_proj,4096,7,0.001708984375,1.4
llama8b,seed0,model.layers.16.mlp.down_proj,57344,3,5.231584821428571e-05,1.0
llama8b,draw1,model.layers.16.mlp.down_proj,57344,18,0.0003138950892857143,6.0
llama8b,draw2,model.layers.16.mlp.down_proj,57344,12,0.00020926339285714285,4.0
llama8b,draw3,model.layers.16.mlp.down_proj,57344,7,0.0001220703125,2.3333333333333335
llama8b,draw4,model.layers.16.mlp.down_proj,57344,6,0.00010463169642857142,2.0
llama8b,seed0,model.layers.16.mlp.gate_proj,57344,4,6.975446428571428e-05,1.0
llama8b,draw1,model.layers.16.mlp.gate_proj,57344,11,0.00019182477678571428,2.75
llama8b,draw2,model.layers.16.mlp.gate_proj,57344,7,0.0001220703125,1.75
llama8b,draw3,model.layers.16.mlp.gate_proj,57344,2,3.487723214285714e-05,0.5
llama8b,draw4,model.layers.16.mlp.gate_proj,57344,1,1.743861607142857e-05,0.25
llama8b,seed0,model.layers.16.mlp.up_proj,57344,12,0.00020926339285714285,1.0
llama8b,draw1,model.layers.16.mlp.up_proj,57344,7,0.0001220703125,0.5833333333333334
llama8b,draw2,model.layers.16.mlp.up_proj,57344,5,8.719308035714286e-05,0.4166666666666667
llama8b,draw3,model.layers.16.mlp.up_proj,57344,6,0.00010463169642857142,0.5
llama8b,draw4,model.layers.16.mlp.up_proj,57344,3,5.231584821428571e-05,0.25
llama8b,seed0,model.layers.16.self_attn.k_proj,4096,1,0.000244140625,1.0
llama8b,draw1,model.layers.16.self_attn.k_proj,4096,1,0.000244140625,1.0
llama8b,draw2,model.layers.16.self_attn.k_proj,4096,1,0.000244140625,1.0
llama8b,draw3,model.layers.16.self_attn.k_proj,4096,0,0.0,0.0
llama8b,draw4,model.layers.16.self_attn.k_proj,4096,2,0.00048828125,2.0
llama8b,seed0,model.layers.16.self_attn.o_proj,16384,3,0.00018310546875,1.0
llama8b,draw1,model.layers.16.self_attn.o_proj,16384,7,0.00042724609375,2.3333333333333335
llama8b,draw2,model.layers.16.self_attn.o_proj,16384,4,0.000244140625,1.3333333333333333
llama8b,draw3,model.layers.16.self_attn.o_proj,16384,3,0.00018310546875,1.0
llama8b,draw4,model.layers.16.self_attn.o_proj,16384,3,0.00018310546875,1.0
llama8b,seed0,model.layers.16.self_attn.q_proj,16384,6,0.0003662109375,1.0
llama8b,draw1,model.layers.16.self_attn.q_proj,16384,5,0.00030517578125,0.8333333333333334
llama8b,draw2,model.layers.16.self_attn.q_proj,16384,3,0.00018310546875,0.5
llama8b,draw3,model.layers.16.self_attn.q_proj,16384,3,0.00018310546875,0.5
llama8b,draw4,model.layers.16.self_attn.q_proj,16384,1,6.103515625e-05,0.16666666666666666
llama8b,seed0,model.layers.16.self_attn.v_proj,4096,3,0.000732421875,1.0
llama8b,draw1,model.layers.16.self_attn.v_proj,4096,3,0.000732421875,1.0
llama8b,draw2,model.layers.16.self_attn.v_proj,4096,5,0.001220703125,1.6666666666666667
llama8b,draw3,model.layers.16.self_attn.v_proj,4096,2,0.00048828125,0.6666666666666666
llama8b,draw4,model.layers.16.self_attn.v_proj,4096,6,0.00146484375,2.0
