model,N,stratum,module,tile,objective,baseline_loss_restored_exact,predicted,predicted_se,actual,actual_se,pointwise_ci_low,pointwise_ci_high,effect_over_se,sign_agreement,pointwise_resolvable,se_unit,valid_target_tokens,stratum_size,within_stratum_inclusion_probability,predictor_data,reference,precision,source,source_sha256
llama8b,16,selected,model.layers.30.mlp.gate_proj,36479,ce,False,-2.8850988550432888e-06,9.585218154554816e-07,-0.00016181322280317545,0.00027000886172124386,-0.0006910305917768135,0.00036740414617046256,-0.5992885632406791,True,False,128 calibration sequences; not held-out documents,65408,1781,0.022459292532285232,same frozen seed0 calibration sequences as finite effect,all FourOverSix; causal-per-token activation,"BF16 forward, FP32 log_softmax, FP64 paired sequence summaries",research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,selected,model.layers.30.mlp.gate_proj,36479,kl,False,-2.1744350945651636e-06,6.78149744700422e-07,6.0789739161348086e-05,9.107651876871528e-05,-0.00011772023762533384,0.00023929971594803003,0.6674578693079046,False,False,128 calibration sequences; not held-out documents,65408,1781,0.022459292532285232,same frozen seed0 calibration sequences as finite effect,all FourOverSix; causal-per-token activation,"BF16 forward, FP32 log_softmax, FP64 paired sequence summaries",research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,selected,model.layers.8.self_attn.o_proj,9377,ce,False,-6.03369811447152e-06,1.9311108543865556e-06,0.002335610392037779,0.0013787149647697203,-0.0003666709389108726,0.00503789172298643,1.6940487712976149,False,False,128 calibration sequences; not held-out documents,65408,1781,0.022459292532285232,same frozen seed0 calibration sequences as finite effect,all FourOverSix; causal-per-token activation,"BF16 forward, FP32 log_softmax, FP64 paired sequence summaries",research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,selected,model.layers.8.self_attn.o_proj,9377,kl,False,-4.7666966467296845e-06,1.3518625284062022e-06,0.0005087959496279262,0.0007361049539182978,-0.0009339697600519374,0.0019515616593077899,0.6912002791444314,False,False,128 calibration sequences; not held-out documents,65408,1781,0.022459292532285232,same frozen seed0 calibration sequences as finite effect,all FourOverSix; causal-per-token activation,"BF16 forward, FP32 log_softmax, FP64 paired sequence summaries",research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,selected,model.layers.12.mlp.down_proj,42656,ce,False,-2.560778875615455e-06,8.506404812076573e-07,0.0011085662408731878,0.0011257261810401712,-0.001097857073965548,0.0033149895557119235,0.9847565594049454,False,False,128 calibration sequences; not held-out documents,65408,1781,0.022459292532285232,same frozen seed0 calibration sequences as finite effect,all FourOverSix; causal-per-token activation,"BF16 forward, FP32 log_softmax, FP64 paired sequence summaries",research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,selected,model.layers.12.mlp.down_proj,42656,kl,False,-1.0620300540664651e-06,2.9207356168184013e-07,0.0006673271868844057,0.0008177899697734956,-0.0009355411538716456,0.002270195527640457,0.8160129269734577,False,False,128 calibration sequences; not held-out documents,65408,1781,0.022459292532285232,same frozen seed0 calibration sequences as finite effect,all FourOverSix; causal-per-token activation,"BF16 forward, FP32 log_softmax, FP64 paired sequence summaries",research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,selected,model.layers.10.mlp.up_proj,52615,ce,False,-2.4773749014439517e-06,7.351269247250948e-07,0.0018073628307320178,0.0011225627668669397,-0.0003928601923271838,0.004007585853791219,1.6100327608195555,False,False,128 calibration sequences; not held-out documents,65408,1781,0.022459292532285232,same frozen seed0 calibration sequences as finite effect,all FourOverSix; causal-per-token activation,"BF16 forward, FP32 log_softmax, FP64 paired sequence summaries",research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,selected,model.layers.10.mlp.up_proj,52615,kl,False,-1.8958316331252334e-06,5.885743249340675e-07,0.0004296010146250208,0.0006955985096105743,-0.0009337720642117048,0.0017929740934617463,0.6175991016218965,False,False,128 calibration sequences; not held-out documents,65408,1781,0.022459292532285232,same frozen seed0 calibration sequences as finite effect,all FourOverSix; causal-per-token activation,"BF16 forward, FP32 log_softmax, FP64 paired sequence summaries",research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,selected,model.layers.8.mlp.down_proj,54123,ce,False,-2.8873861801503864e-06,8.097181467643061e-07,0.002506143180653453,0.0012817433568475354,-6.073798767716569e-06,0.005018360160074622,1.9552612988120688,False,False,128 calibration sequences; not held-out documents,65408,1781,0.022459292532285232,same frozen seed0 calibration sequences as finite effect,all FourOverSix; causal-per-token activation,"BF16 forward, FP32 log_softmax, FP64 paired sequence summaries",research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
llama8b,16,selected,model.layers.8.mlp.down_proj,54123,kl,False,-1.837478558641692e-06,5.552200449194802e-07,0.00020891897887065974,0.0006150476005925604,-0.0009965743182907586,0.001414412276032078,0.33967936574239005,False,False,128 calibration sequences; not held-out documents,65408,1781,0.022459292532285232,same frozen seed0 calibration sequences as finite effect,all FourOverSix; causal-per-token activation,"BF16 forward, FP32 log_softmax, FP64 paired sequence summaries",research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_llama8b_attempt1/fidelity/fidelity_report.json,bc9be3a83c1777a9b43827b2f3bb2c81eb8d0b6cb757d80f8448bb406ab32527
