model,dataset,policy,ppl,delta_ppl,delta_nll,se_delta_nll,windows,selected_tiles
llama-3.1-8b-local,c4,gradient_trust_0p1,8.457267385145126,-0.013337389942874367,-0.00157579081133008,0.0016336433097535405,64,6387
llama-3.1-8b-local,c4,matched_random,8.449632864187823,-0.020971910900177804,-0.0024789157323539257,0.0014870880249817783,64,
llama-3.1-8b-local,c4,hess_h1.5,8.421696705261905,-0.04890806982609597,-0.005790591239929199,0.0016763343318242586,64,
llama-3.1-8b-local,c4,hess_impg16_h10,8.465634875741241,-0.004969899346759732,-0.0005868952721357346,0.0010224780248113867,64,
qwen3-8b,wikitext,baseline,10.035179347392774,0.0,0.0,0.0,146,
qwen3-8b,wikitext,gradient_trust_0p1,9.301610015067084,-0.7335693323256898,-0.07590934919984374,0.0014101560603782665,146,291
qwen3-8b,wikitext,matched_random,10.027658302880784,-0.0075210445119893166,-0.0007497488635860078,0.0009460516229586486,146,
qwen3-8b,wikitext,hess_h1.5,10.021294404549138,-0.013884942843635173,-0.0013845848710569617,0.001306369404778925,146,
qwen3-8b,wikitext,hess_impg16_h10,9.976658540967366,-0.05852080642540791,-0.005848635549414648,0.0010660383654171558,146,
qwen3-8b,c4,baseline,11.548092434285328,0.0,0.0,0.0,64,
qwen3-8b,c4,gradient_trust_0p1,11.135446027138487,-0.4126464071468412,-0.036386909894645214,0.0018539563233478348,64,291
qwen3-8b,c4,matched_random,11.57149557028406,0.02340313599873234,0.0020245295017957687,0.0010393093910702554,64,
qwen3-8b,c4,hess_h1.5,11.599704525012395,0.051612090727067184,0.004459359683096409,0.0014460976280008895,64,
qwen3-8b,c4,hess_impg16_h10,11.546901293521383,-0.0011911407639448868,-0.00010315142571926117,0.0012237373278826448,64,
llama-3.2-1b-ins-local,wikitext,baseline,15.413290356701904,0.0,0.0,0.0,141,
llama-3.2-1b-ins-local,wikitext,gradient_trust_0p1,14.592727055713928,-0.8205633009879758,-0.05470688968685502,0.0012886067142498607,141,501
llama-3.2-1b-ins-local,wikitext,matched_random,15.455313376422367,0.04202301972046385,0.0027227046641897647,0.0011404464212599011,141,
llama-3.2-1b-ins-local,wikitext,hess_h1.5,15.4701909670522,0.05690061035029714,0.003684861440185114,0.0014180265711134662,141,
llama-3.2-1b-ins-local,wikitext,hess_impg16_h10,15.408592926199441,-0.004697430502462296,-0.00030481138973371356,0.0010849811295511641,141,
llama-3.2-1b-ins-local,c4,baseline,18.218474156304534,0.0,0.0,0.0,64,
llama-3.2-1b-ins-local,c4,gradient_trust_0p1,17.242661072892943,-0.975813083411591,-0.055049534887075424,0.003504000151633538,64,501
llama-3.2-1b-ins-local,c4,matched_random,18.234627458111316,0.016153301806781428,0.0008862512186169624,0.0015352390212927084,64,
llama-3.2-1b-ins-local,c4,hess_h1.5,18.091961721192646,-0.1265124351118878,-0.006968406960368156,0.002184876380132805,64,
llama-3.2-1b-ins-local,c4,hess_impg16_h10,18.19398386138713,-0.024490294917402622,-0.0013451604172587395,0.0015210801738019086,64,
qwen3-14b,wikitext,baseline,8.910295883645947,0.0,0.0,0.0,146,
qwen3-14b,wikitext,gradient_trust_0p1,8.298896197316731,-0.6113996863292162,-0.07108493128867999,0.0014233735880526696,146,462
qwen3-14b,wikitext,matched_random,8.915943358194232,0.005647474548284848,0.0006336137040020668,0.000808168319385332,146,
qwen3-14b,wikitext,hess_h1.5,8.889857694622169,-0.020438189023778364,-0.002296406928807089,0.0012800903952584176,146,
qwen3-14b,wikitext,hess_impg16_h10,8.921974889717013,0.011679006071066311,0.0013098733065879508,0.0009279340195507891,146,
qwen3-14b,c4,baseline,10.509005349140086,0.0,0.0,0.0,64,
qwen3-14b,c4,gradient_trust_0p1,10.156127564876874,-0.35287778426321204,-0.03415531758219004,0.0017675858342803916,64,462
qwen3-14b,c4,matched_random,10.513144223367458,0.004138874227372469,0.0003937631845474243,0.0010221711628160724,64,
qwen3-14b,c4,hess_h1.5,10.449048343996456,-0.059957005143630226,-0.005721635185182095,0.0011624368907184003,64,
qwen3-14b,c4,hess_impg16_h10,10.488937895869057,-0.020067453271028768,-0.001911373808979988,0.0012808606376054756,64,
llama-3.1-8b-ins-local,wikitext,baseline,7.846568242884387,0.0,0.0,0.0,141,
llama-3.1-8b-ins-local,wikitext,gradient_trust_0p1,7.643517116840011,-0.20305112604437614,-0.026218416843008487,0.001200047384362324,141,2543
llama-3.1-8b-ins-local,wikitext,matched_random,7.846575128904505,6.886020118557212e-06,8.775832805227726e-07,0.0008094097694942456,141,
llama-3.1-8b-ins-local,wikitext,hess_h1.5,7.794036701512263,-0.052531541372124124,-0.0067173538478553715,0.0010790444940427632,141,
llama-3.1-8b-ins-local,wikitext,hess_impg16_h10,7.848735189513542,0.0021669466291553974,0.0002761267601175511,0.0007561632299817431,141,
llama-3.1-8b-ins-local,c4,baseline,9.685413627965358,0.0,0.0,0.0,64,
llama-3.1-8b-ins-local,c4,gradient_trust_0p1,9.643175442680871,-0.04223818528448753,-0.004370546899735928,0.001613467280020595,64,2543
llama-3.1-8b-ins-local,c4,matched_random,9.691642295586986,0.006228667621627437,0.0006428910419344902,0.0015119772784741466,64,
llama-3.1-8b-ins-local,c4,hess_h1.5,9.637528851440392,-0.04788477652496681,-0.0049562714993953705,0.0021790187421593128,64,
llama-3.1-8b-ins-local,c4,hess_impg16_h10,9.674915864537429,-0.01049776342792974,-0.0010844613425433636,0.001604242709714909,64,
